RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
ANNAYATAN;BARANGAY ROAD;RR;20.00;;
ASINGA-VIA;BARANGAY ROAD;RR;20.00;;
ASSASI;PROVINCIAL ROAD;RR;25.00;;
ASSASI;BARANGAY ROAD;RR;20.00;;
AWALLAN;BARANGAY ROAD;RR;20.00;;
BACAGAN;BARANGAY ROAD;RR;20.00;;
BAGUNOT;BARANGAY ROAD;RR;20.00;;
BARSAT EAST;BARANGAY ROAD;RR;20.00;;
BARSAT WEST;BARANGAY ROAD;RR;20.00;;
BITAG GRANDE;PROVINCIAL ROAD;RR;25.00;;
BITAG GRANDE;BARANGAY ROAD;RR;25.00;;
BITAG PIQUENO;BARANGAY ROAD;RR;20.00;;
BUNUGAN;BARANGAY ROAD;RR;20.00;;
CANATAGAN;BARANGAY ROAD;RR;20.00;;
CARUPIAN;BARANGAY ROAD;RR;20.00;;
CATUGAY;BARANGAY ROAD;RR;20.00;;
DABBAC GRANDE;BARANGAY ROAD;RR;25.00;;
DALIN;BARANGAY ROAD;RR;20.00;;
CITY/MUNICIPALITY:;BAGGAO;;;;
BARANGAY :;VARIOUS;;;;
DALLA;PROVINCIAL ROAD;RR;25.00;;
DALLA;BARANGAY ROAD;RR;20.00;;
HACIENDA INTAL;BARANGAY ROAD;RR;20.00;;
IBULO;BARANGAY ROAD;RR;25.00;;
IMURUNG;PROVINCIAL ROAD;RR;25.00;;
IMURUNG;BARANGAY ROAD;RR;25.00;;
LASILAT;BARANGAY ROAD;RR;20.00;;
MASICAL;PROVINCIAL ROAD;RR;25.00;;
MASICAL;BARANGAY ROAD;RR;25.00;;
MOCAG;BARANGAY ROAD;RR;20.00;;
MABINI;BARANGAY ROAD;RR;20.00;;
NANGALINAN;BARANGAY ROAD;RR;20.00;;
PALLAGAO SUR;BARANGAY ROAD;RR;20.00;;
REMUS;BARANGAY ROAD;RR;20.00;;
SAN ANTONIO;BARANGAY ROAD;RR;15.00;;
SANTA MARGARITA;BARANGAY ROAD;RR;20.00;;
SAN FRANCISCO;PROVINCIAL ROAD;RR;25.00;;
SAN FRANCISCO;BARANGAY ROAD;RR;20.00;;
SAN ISIDRO;PROVINCIAL ROAD;RR;25.00;;
SAN ISIDRO;BARANGAY ROAD;RR;20.00;;
SAN MIGUEL;BARANGAY ROAD;RR;25.00;;
SAN JOSE;PROVINCIAL ROAD;RR;25.00;;
SAN JOSE;BARANGAY ROAD;RR;25.00;;
SANTOR;BARANGAY ROAD;RR;20.00;;
SAN VICENTE;BARANGAY ROAD;RR;20.00;;
TAGUING;BARANGAY ROAD;RR;20.00;;
TAGUNTUNGAN;BARANGAY ROAD;RR;20.00;;
TALLANG;PROVINCIAL ROAD;RR;25.00;;
TALLANG;BARANGAY ROAD;RR;20.00;;
TAYTAY;BARANGAY ROAD;RR;20.00;;
TEMBLIQUE;PROVINCIAL ROAD;RR;25.00;;
TEMBLIQUE;BARANGAY ROAD;RR;20.00;;
TUNGAL;BARANGAY ROAD;RR;20.00;;
VERZOSA;BARANGAY ROAD;RR;20.00;;
CITY/MUNICIPALITY:;BAGGAO;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;3.00;;
ALL LOTS;;A2;1.50;;
ALL LOTS;;A3;1.50;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;3.50;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;5.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;BALLESTEROS;;;;
BARANGAY  :;CENTRO;;;;
PROVINCIAL ROAD;FLOR ST-AGUSTIN ST;CR;235.00;;
PROVINCIAL ROAD;LIBRADO ST - MIGUEL PIO ST;CR;235.00;;
PROVINCIAL ROAD;MIGUEL PIO ST-J ALONZO ST;CR;160.00;;
PROVINCIAL ROAD;J ALONZO ST- FLOR ST;CR;135.00;;
PROVINCIAL ROAD;LIBAN ST- LIBRADO ST;RR;90.00;;
PROVINCIAL ROAD;AGUSTIN ST- ZITANGA;RR;90.00;;
PROVINCIAL ROAD;LIBAN ST-UNITO ST.;RR;70.00;;
UNITE ST;PROVINCIAL RD- ZAMORA ST;CR;160.00;;
UNITE ST;LUNA ST- PROVINCIAL RD;RR;90.00;;
CONSEJOS ST;PROVINCIAL RD-PROGRESITA ST;CR;160.00;;
CONSEJOS ST;LUNA ST-PROVINCIAL RD;RR;90.00;;
ZAMORA ST;MIGUEL PIO ST- J ALONZO;CR;135.00;;
;J ALONZO ST- WASHINGTON ST;RR;90.00;;
PROGRESITA ST;MIGUEL PIO ST- CONSEJOS ST;RR;90.00;;
PROGRESITA ST;LIBAN ST-MIGUEL PIO ST;RR;70.00;;
MABINI ST;J ALONZO ST-WASNINGTON ST;RR;90.00;;
MABINI ST;LIBAN ST-UNITE ST;RR;70.00;;
LUNA ST;MIGUEL PIO ST-FLOR ST;RR;90.00;;
LUNA ST;LIBAN ST-MIGUEL PIO ST;RR;70.00;;
LUNA ST;J ALONZO ST - WASHINGTON ST;RR;70.00;;
MIGUEL PIO ST;LUNA ST - MABINI ST;RR;90.00;;
MIGUEL PIO ST;NACIONALISTA ST- PROV'L RD;RR;70.00;;
MIGUEL PIO ST;MABINI ST - PROVINCIAL RD;RR;70.00;;
J ALONZO ST;LUNA ST- PROVINCIAL RD;RR;90.00;;
WASHINGTON ST;MABINI ST- ZAMORA ST;RR;90.00;;
WASHINGTON ST;ROAD C - NACIONALISTA ST;RR;45.00;;
AGUSTIN ST;NACIONALISTA ST-MABINI ST;RR;70.00;;
LIBRADO ST;NACIONALISTA ST-PROV'L ROAD;RR;70.00;;
LIBAN ST;NACIONALISTA ST-PROV'L ROAD;RR;70.00;;
B. CORTEZ ST;LIBAN ST- ZITANGA;RR;45.00;;
NACIONALISTA ST;LIBAN ST-WASHINGTON ST;RR;45.00;;
CITY/MUNICIPALITY:;BALLESTEROS;;;;
BARANGAY :;VARIOUS;;;;
CABULUAN WEST;PROVINCIAL ROAD;RR;70.00;;
CABULUAN WEST;BARANGAY ROAD;RR;45.00;;
CABULUAN EAST;PROVINCIAL ROAD;RR;70.00;;
CABULUAN EAST;BARANGAY ROAD;RR;45.00;;
CABARITAN EAST;PROVINCIAL ROAD;RR;70.00;;
CABARITAN EAST;BARANGAY ROAD;RR;45.00;;
CABARITAN WEST;PROVINCIAL ROAD;RR;45.00;;
CABARITAN WEST;BARANGAY ROAD;RR;35.00;;
PAYAGAN WEST;PROVINCIAL ROAD;RR;45.00;;
PAYAGAN WEST;BARANGAY ROAD;RR;35.00;;
PAYAGAN EAST;BARANGAY ROAD;RR;30.00;;
MABUTTAL EAST;PROVINCIAL ROAD;RR;45.00;;
MABUTTAL EAST;BARANGAY ROAD;RR;35.00;;
MABUTTAL WEST;PROVINCIAL ROAD;RR;45.00;;
MABUTTAL WEST;BARANGAY ROAD;RR;35.00;;
BARAN;BARANGAY ROAD;RR;35.00;;
ZITANGA;NATIONAL ROAD;RR;45.00;;
ZITANGA;PROVINCIAL ROAD;RR;45.00;;
ZITANGA;BARANGAY ROAD;RR;35.00;;
FUGU;NATIONAL ROAD;RR;45.00;;
FUGU;BARANGAY ROAD;RR;35.00;;
NARARAGAN;PROVINCIAL ROAD;RR;35.00;;
NARARAGAN;BARANGAY ROAD;RR;25.00;;
CABAYU;PROVINCIAL ROAD;RR;25.00;;
CABAYU;BARANGAY ROAD;RR;20.00;;
SAN JUAN;BARANGAY ROAD;RR;20.00;;
PALLOC;PROVINCIAL ROAD;RR;45.00;;
PALLOC;BARANGAY ROAD;RR;35.00;;
AMMUBUAN;PROVINCIAL ROAD;RR;45.00;;
AMMUBUAN;BARANGAY ROAD;RR;35.00;;
SANTA CRUZ;PROVINCIAL ROAD;RR;45.00;;
SANTA CRUZ;BARANGAY ROAD;RR;35.00;;
CITY/MUNICIPALITY:;BALLESTEROS;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.50;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;5.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;BUGUEY;;;;
BARANGAY:;CENTRO EAST & CENTRO WEST;;;;
BURGOS ST;ANTIPORDA - CALAYCAY ST;CR;65.00;;
DON ALFONSO ENRILE ST;ANTIPORDA - CALAYCAY ST;CR;65.00;;
DON ALFONSO ENRILE ST;DON MODESTO ANTIPORDAST-DON PLACIDO CALAYCAY ST;RR;50.00;;
DON ALFONSO ENRILE ST;LIBERAL ST-DON MODESTO ANTIPORDA ST;RR;45.00;;
RIZAL ST;E. UNIDE ST.-CALAYCAY ST.;RR;50.00;;
RIZAL ST;LIBERAL ST-E. UNIDA ST;RR;45.00;;
RIZAL ST;DON JOY ARREOLA-DON ALFONSO ENRILE ST-DON PLACIDO-CALAYCAY ST-RIZAL ST;RR;45.00;;
BONIFACIO ST;GEN LUNA ST-DON A ENRILE ST;RR;50.00;;
MABINI ST;GEN LUNA ST-DON A ENRILE ST;RR;50.00;;
DON PLACIDO CALAYCAY;GEN LUNA ST-DON A ENRILE ST;RR;50.00;;
DON PLACIDO CALAYCAY;RIZAL ST-DON JOY ARREDA ST-BABUYAN CHANNEL;RR;45.00;;
DON MODESTO ANTIPORDA ST;GEN LUNA ST-BUGUEY BRIDGE;RR;50.00;;
MAJOR E. UNIDA ST;GEN LUNA ST-DON A ENRILE ST;RR;50.00;;
GEN LUNA ST;E. UNIDA ST-MABINI ST;RR;50.00;;
GEN LUNA ST;LIBERAL ST-DON PLACIDO CALAYCAY;RR;45.00;;
DON FRANCISCO TORRES ST;BABUYAN CHANNEL-BUGUEY RIVER;RR;45.00;;
MARCOS ST;RIZAL ST-DON A ENRILE ST;RR;45.00;;
ROSAL ST;;RR;50.00;;
NATIONAL ROAD - PATTAO JUNCTION;;I;50.00;;
CITY/MUNICIPALITY:;BUGUEY;;;;
BARANGAY :;VARIOUS;;;;
BALLANG;BARANGAY ROAD;RR;40.00;;
BALZA;BARANGAY ROAD;RR;35.00;;
CABARITAN;BARANGAY ROAD;RR;45.00;;
CALAMEGATAN;BARANGAY ROAD;RR;40.00;;
DALAYA;BARANGAY ROAD;RR;20.00;;
FULA;BARANGAY ROAD;RR;40.00;;
LERON;BARANGAY ROAD;RR;25.00;;
M. ANTIPORDA;BARANGAY ROAD;RR;20.00;;
MADDALERO;BARANGAY ROAD;RR;25.00;;
MALA ESTE;BARANGAY ROAD;RR;25.00;;
MALA WESTE;BARANGAY ROAD;RR;25.00;;
MINANGA;BARANGAY ROAD;RR;25.00;;
PADDAYA;BARANGAY ROAD;RR;20.00;;
PATTAO;NATIONAL ROAD;RR;25.00;;
PATTAO;BARANGAY ROAD;RR;20.00;;
QUINAWEGAN;NATIONAL ROAD;RR;20.00;;
QUINAWEGAN;BARANGAY ROAD;RR;15.00;;
REMEBELLA;NATIONAL ROAD;RR;20.00;;
REMEBELLA;BARANGAY ROAD;RR;20.00;;
SAN ISIDRO;PROVINCIAL ROAD;RR;25.00;;
SAN ISIDRO;BARANGAY ROAD;RR;20.00;;
SANTA ISABEL;NATIONAL ROAD;RR;20.00;;
SANTA ISABEL;BARANGAY ROAD;RR;15.00;;
SANTA MARIA;BARANGAY ROAD;RR;25.00;;
TABBAC;NATIONAL ROAD;RR;20.00;;
TABBAC;BARANGAY ROAD;RR;20.00;;
VILLA CIELO;NATIONAL ROAD;RR;20.00;;
VILLA CIELO;BARANGAY ROAD;RR;20.00;;
CITY/MUNICIPALITY:;BUGUEY;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;6.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;CALAYAN;;;;
BARANGAY  :;POBLACION;;;;
RIZAL ST;CABUDADAN BRIGE-DADAO BRIGE;RR;25.00;;
RIZAL ST;CABUDADAN BRIGE-TUGOD BRIDGE;RR;25.00;;
RIZAL ST;DADAO BRIDGE-BANGAAN BRIDGE;RR;25.00;;
MATEO CASTILLEJOS ST;SEASHORE - RIZAL;RR;25.00;;
JUAN MADDELA ST;SEASHORE - RIZAL;RR;25.00;;
MANUEL L QUEZON ST;A. ESCALANTE ST-RIZAL ST;RR;25.00;;
MANUEL L QUEZON ST;RIZAL ST-LENGTH OF 100 NORTH EAST-WARD;RR;25.00;;
F. LASAM ST;SEASHORE- RIZAL ST;RR;25.00;;
E. LLOPIS;SEASHORE- RIZAL ST;RR;25.00;;
M. ESCALANTE ST;CASTILLEJOS ST-E. LLOPIS ST;RR;25.00;;
ALL OTHER STREET;;RR;20.00;;
CITY/MUNICIPALITY:;CALAYAN;;;;
BARANGAY :;VARIOUS;;;;
CENTRO II;MUNICIPAL ROAD;RR;20.00;;
CENTRO II;BARANGAY ROAD;RR;15.00;;
BALATUBAT;BARANGAY ROAD;RR;20.00;;
BABUYAN CLARO ISLAND;BARANGAY ROAD;RR;20.00;;
CABUDADAN;BARANGAY ROAD;RR;20.00;;
DADAO;BARANGAY ROAD;RR;20.00;;
DALUPIRI ISLAND;BARANGAY ROAD;RR;15.00;;
DIBAY;BARANGAY ROAD;RR;20.00;;
DILAM;BARANGAY ROAD;RR;20.00;;
MAGSIDEL;BARANGAY ROAD;RR;15.00;;
MINABEL;BARANGAY ROAD;RR;20.00;;
NAGUILIAN;BARANGAY ROAD;RR;15.00;;
NAGUILIAN;BARANGAY ROAD;;;;
CITY/MUNICIPALITY:;CALAYAN;;;;
BARANGAY:;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.00;;
ALL LOTS;;A2;3.50;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;2.00;;
ALL LOTS;;A7;5.50;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;CAMALANIUGAN;;;;
BARANGAY  :;CENTRO NORTE;;;;
NATIONAL ROAD (WEST SIDE);BUSTILLOS ST-MARQUEZ DE PENA PLATA ST;RR;115.00;;
BICERRA ST.;BUSTILLOS ST-MARQUEZ DE PENA PLATA ST;RR;115.00;;
REAL DE HOOD ST (EAST);BUSTILLOS ST-MARQUEZ DE PENA PLATA ST;RR;100.00;;
(WEST);BUSTILLOS ST-PLATA ST.;RR;90.00;;
ZENERIFE ST;MALCAMPO ST- PLATA ST;RR;80.00;;
BUSTILLOS ST;NATIONAL RD-REAL DE HOOD ST;RR;100.00;;
MALCAMPO ST;NATIONAL RD-REAL DE HOOD ST;RR;100.00;;
MALCAMPO ST;REAL DE HOOD ST-ZENERIFE ST;RR;90.00;;
MORIONES ST;REAL DE HOOD ST-NAT'L ROAD;RR;100.00;;
MORIONES ST;REAL DE HOOD ST-ZENERIFE ST;RR;90.00;;
MARQUEZ DE PENA PLATA;REAL DE HOOD ST-NAT'L ROAD;RR;100.00;;
MARQUEZ DE PENA PLATA;REAL DE HOOD ST-ZENERIFE ST;RR;90.00;;
ALL OTHER BARANGAY ROADS & INTERIOR LOTS;;RR;80.00;;
CITY/MUNICIPALITY:;CAMALANIUGAN;;;;
BARANGAY  :;CENTRO SUR (POBLACION);;;;
NATIONAL ROAD;MARQUEZ DE PENA PLATA ST-GEN JOVELLAR ST;RR;115.00;;
BICERRA ST (WEST);DE PENA PLATA -GEN JOVELLAR;RR;115.00;;
(EAST);DE PENA PLATA -GEN JOVELLAR;RR;100.00;;
REAL DE HOOD ST (EAST);DE PENA PLATA -GEN JOVELLAR;RR;100.00;;
(WEST);DE PENA PLATA -GEN JOVELLAR;RR;90.00;;
ZENERIFE ST;DE PENA PLATA -GEN JOVELLAR;RR;90.00;;
MARQUEZ DE ESTRELLA ST;DE PENA PLATA -GEN JOVELLAR;RR;80.00;;
PULO DE LARA ST;DE PENA PLATA -GEN JOVELLAR;RR;80.00;;
MARQUEZ DE PENA PLATA;NATIONAL RD - REAL DE HOOD ST;RR;100.00;;
MARQUEZ DE PENA PLATA;REAL DE HOOD ST-MARQUEZ DE ESTRELLA ST;RR;90.00;;
MARQUEZ DE PENA PLATA;MARQUEZ DE ESTRELLA ST-PULO DE LARA ST;RR;80.00;;
NEPOMUCENO ST;REAL DE HOOD ST-MARQUES DE ESTRELLA ST;RR;90.00;;
NEPOMUCENO ST;REAL DE HOOD ST- NATIONAL RD;RR;100.00;;
NEPOMUCENO ST;MARQUEZ DE ESTRELLA ST-PULO DE LARA ST;RR;80.00;;
GENERAL WEYLER ST;REAL DE HOOD ST-NATIONAL RD;RR;100.00;;
GENERAL WEYLER ST;REAL DE HOOD ST-MARQUEZ DE LARA ST;RR;90.00;;
GENERAL WEYLER ST;MARQUEZ DE ESTRELLA ST- PULO DE LARA ST;RR;80.00;;
GEN. JOVELLAR ST;REAL DE HOOD ST- NATIONAL RD;RR;100.00;;
GEN. JOVELLAR ST;REAL DE HOOD ST-MARQUEZ DE ESTRELLA ST;RR;90.00;;
ALL OTHER BARANGAY ROADS & INTERIOR LOTS;;RR;80.00;;
CITY/MUNICIPALITY:;CAMALANIUGAN;;;;
BARANGAY  :;CENTRO SUR (SAPPING);;;;
NATIONAL ROAD;"GEN JOVELLAR ST-BARANGAY ""A"" ";RR;115.00;;
CALLESAN ST;REAL DE HOOD ST-BICERRA ST;RR;80.00;;
CALLESAN ST;"BICERRA ST- BARANGAY ""B"" ST";RR;90.00;;
CALLESAN ST;"BARANGAY ""B"" ST-NATIONAL RD";RR;100.00;;
"BARANGAY ""A"" ST";"BICERRA ST-BARNGAY ""B"" ST";RR;90.00;;
"BARANGAY ""A"" ST";"BARANGAY ""B"" ST-NATIONAL RD";RR;100.00;;
GEN JOVELLAR ST;"NATIONAL RD-BARANGAY ""B"" ST";RR;100.00;;
GEN JOVELLAR ST;"BARANGAY ""B"" ST-BICERRA ST";RR;90.00;;
GEN JOVELLAR ST;BICERRA ST-CAGAYAN RIVER;RR;80.00;;
REAL DE HOOD ST;GEN JOVELLAR -CAGAYAN RIVER;RR;80.00;;
BICERRA ST (EAST);"GEN JOVELLAR ST-BARANGAY ""A""";RR;80.00;;
(WEST);"JOVELLAR ST-BARANGAY ""A"" ST";RR;90.00;;
"BARANGAY ""B"" ST";"JOVELLAR ST-BARANGAY ""A"" ST";RR;90.00;;
ALL OTHER BARANGAY ROADS & INTERIOR LOTS;;RR;80.00;;
CITY/MUNICIPALITY:;CAMALANIUGAN;;;;
BARANGAY :;BULALA;;;;
NATIONAL ROAD;DUGO BDRY-BRGY ROAD-CASILI;CR;800.00;;
NATIONAL ROAD;GONZAGA - AGLIPAY;CR;800.00;;
AGLIPAY ST (WEST);NATIONAL ROAD - GONZAGA COR CENTRAL MARKET;CR;700.00;;
AGLIPAY ST (EAST);NATIONAL ROAD - BARANGAY RD CASILI;RR;550.00;;
BARANGAY ROAD TO CASILI;NATIONAL ROAD - APARRI - AGLIPAY ST.;RR;550.00;;
ALL OTHER BARANGAY ROADS & INTERIOR LOTS;;RR;450.00;;
ABAGAO;NATIONAL ROAD-BUGUEY-TO ALL OTHER BARANGAY ROADS;RR;80.00;;
ABAGAO;INTERIOR LOTS;RR;70.00;;
AFUNAN CABAYU;NATIONAL ROAD-GONZAGA-TO ALL OTHER BARANGAY ROADS;RR;80.00;;
AFUNAN CABAYU;INTERIOR LOTS;RR;70.00;;
AGUSI;NATIONAL ROAD- GONZAGA;RR;100.00;;
AGUSI;ALL OTHER BARANGAY ROADS;RR;90.00;;
AGUSI;INTERIOR LOTS;RR;80.00;;
ALILINU;NATIONAL ROAD;RR;100.00;;
ALILINU;ALL OTHER BARANGAY ROADS;RR;90.00;;
ALILINU;INTERIOR LOTS;RR;80.00;;
BAGGAO;NATIONAL ROAD-APARRI;RR;110.00;;
BAGGAO;BARNAGAY RD EXT- NATIONAL RD;RR;100.00;;
BAGGAO;ALL OTHER BARANGAY ROADS;RR;90.00;;
BAGGAO;INTERIOR LOTS;RR;80.00;;
BANTAG;"ALONG BRGY ""A"" ST AND ALL OTHER BARANGAY ROAD";RR;55.00;;
BANTAG;INTERIOR LOTS;RR;50.00;;
CASILI;ALL BARANGAY ROADS;RR;55.00;;
CASILI;INTERIOR LOTS;RR;50.00;;
CATOTORAN NORTE;NATIONAL ROAD EASTWARD - CHAPEL & SCHOOL COMP.;RR;90.00;;
CATOTORAN NORTE;ALL OTHER BRGY ROAD;RR;80.00;;
CATOTORAN NORTE;INTERIOR LOTS;RR;55.00;;
CATOTORAN SUR;NATIONAL ROAD EASTSIDE;RR;80.00;;
CATOTORAN SUR;NATIONAL RD (WESTSIDE) AND ALL OTHER MAJOR BRGY RD;RR;110.00;;
CATOTORAN SUR;ALL OTHER INTERIOR LOTS;RR;45.00;;
CULLIT;NATIONAL RD & ALL OTHER BRGY ROADS;RR;45.00;;
CULLIT;INTERIOR LOTS;RR;40.00;;
FUGU;NATIONAL ROAD & ALL OTHER MAJOR BRGY ROADS;RR;110.00;;
FUGU;INTERIOR LOTS;RR;100.00;;
JOACQUIN DE LA CRUZ;ALONG  BARANGAY ROADS;RR;40.00;;
(DAMMANG NORTE);INTERIOR LOTS;RR;35.00;;
(DAMMANG NORTE);INTERIOR LOTS;;;;
CITY/MUNICIPALITY:;CAMALANIUGAN;;;;
BARANGAY :;VARIOUS;;;;
DUGO;NATIONAL ROAD;RR;110.00;;
;ALONG A ST- FR NATIONAL ROAD TO 1ST BRGY ROAD;RR;105.00;;
;"1ST BRGY RD FR BRGY ""A"" ST-BARANGAY ""E"" ST";RR;110.00;;
;"2ND BARANGAY RD FR BRGY ""A"" ST-BARANGAY ""E"" ST";RR;100.00;;
;"3RD BARANGAY ROAD-AGLIPAY RD FR BRGY ""A"" ST-BRGY ""E"" ST";RR;80.00;;
;ALL INTERIOR ROAD & LOTS;RR;55.00;;
FUSINA;"BARANGAY ""A"" ST & ALL OTHER BARANGAY ROAD";RR;40.00;;
FUSINA;INTERIOR LOTS;RR;35.00;;
GEN. E. BATALLA (GANGNGO);ALONG THE NATIONAL ROAD;RR;80.00;;
GEN. E. BATALLA (GANGNGO);ALL OTHER BRGY ROADS;RR;55.00;;
GEN. E. BATALLA (GANGNGO);INTERIOR LOTS;RR;50.00;;
JURISDICCION;ALONG THE NATIONAL ROAD;RR;55.00;;
JURISDICCION;ALL OTHER BRGY ROADS;RR;45.00;;
JURISDICCION;INTERIOR LOTS;RR;40.00;;
LUEC;"BARANGAY ""A"" ST";RR;45.00;;
LUEC;INTERIOR LOTS;RR;40.00;;
MINANGA;"BARANGAY ""A"" ST";RR;55.00;;
MINANGA;INTERIOR ROADS & LOTS;RR;45.00;;
PARAGAT;ALONG DIRT ROAD;RR;40.00;;
PARAGAT;INTERIOR LOTS;RR;35.00;;
TAGUM;"BARANGAY ""A"" ST";RR;45.00;;
TAGUM;INTERIOR LOTS;RR;40.00;;
TULUTTUGING;"BARANGAY ""A"" ST & ALL OTHER BARANGAY ROADS";RR;45.00;;
TULUTTUGING;INTERIOR LOTS;RR;40.00;;
ZIMINILA;"BARANGAY ""A"" ST & OTHER BARANGAY ROADS";RR;45.00;;
ZIMINILA;INTERIOR ROADS & LOTS;RR;40.00;;
CITY/MUNICIPALITY:;CAMALANIUGAN;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.50;;
ALL LOTS;;A3;3.50;;
ALL LOTS;;A4;3.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;7.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
NATIONAL ROAD;RICARTE ST-COMMONWEALTH;RR;45.00;;
J. NEBAB ST;NATIONAL RD-JUNE 5, 1868;RR;45.00;;
AZCARRAGA ST;RICARTE ST-JUNE 5, 1868;RR;45.00;;
RIZAL ST;NATIONAL HIWAY - PILIPINAS;RR;35.00;;
RIZAL ST;PILIPINAS ST - JUNE 5, 1868;RR;45.00;;
GEN. CLAVERIA ST;NAT'L HIWAY-PILINAS ST;RR;35.00;;
GEN. CLAVERIA ST;PILIPINAS ST-MARCH 12, 1907;RR;45.00;;
GONZAGA ST;CAGAYAN ST - PILIPINAS ST;RR;35.00;;
GONZAGA ST;PILIPINAS ST- JUNE 5, 1868;RR;45.00;;
BURGOS ST;CAGAYAN ST-MANILA ST;RR;25.00;;
BURGOS ST;MARCH 17,1907 ST-JUNE 5,1868;RR;45.00;;
ZAMORA ST;CAGAYAN ST-MANILA ST;RR;25.00;;
ZAMORA ST;MARCH 17, 1907-JUNE 5,1868;RR;45.00;;
AGUINALDO ST;MANILA ST-JUNE 5, 1868;RR;45.00;;
DUPAYA BOULEVARD;RICARTE ST-MANILA ST;RR;25.00;;
DUPAYA BOULEVARD;MANILA ST-JUNE 5,1868;RR;45.00;;
RICARTE ST;RIZAL ST-GEN. CLAVERIA;RR;35.00;;
RICARTE ST;CLAV. ST - DUPAYA BLVD.;RR;25.00;;
M H DEL PILAR ST;NATIONAL HIWAY-AZCARRAGA;RR;35.00;;
M H DEL PILAR ST;AZCARRAZA ST. - RIZAL ST;RR;45.00;;
M H DEL PILAR ST;RIZAL ST- CLAV. ST;RR;35.00;;
M H DEL PILAR ST;CLAV. ST- DUPAYA BLVD.;RR;30.00;;
AMERICA ST;J. NEBAB - AZCARRAGA ST.;RR;35.00;;
AMERICA ST;AZCARRAZA ST - RIZAL ST;RR;45.00;;
AMERICA ST;RIZAL ST - CAGAYAN ST;RR;35.00;;
CAGAYAN ST;NATIONAL HIWAY - AZCARRAZA;RR;45.00;;
CAGAYAN ST;AZCARRAZA ST. - DUPAYA BLVD.;RR;35.00;;
COMMON WEALTH ST;NAT'L H-WAY-RIZAL ST;RR;45.00;;
COMMON WEALTH ST;RIZAL ST - GONZAGA ST;RR;35.00;;
COMMON WEALTH ST;GONZAGA ST - DUPAYA BLVD;RR;30.00;;
PILIPINAS ST;NATIONAL HIWAY-AZCARRAZA ST.;RR;45.00;;
PILIPINAS ST;AZCARRAZA ST.-CLAV. ST.;RR;35.00;;
PILIPINAS ST;CLAVERIA ST - GONZAGA ST;RR;45.00;;
PILIPINAS ST;GONZAGA ST - DUPAYA BLVD.;RR;30.00;;
CITY/MUNICIPALITY:;CLAVERIA;;;;
BARANGAY  :;POBLACION / CENTRO I;;;;
MANILA ST;NATIONAL HIWAY - DUPAYA BLVD;RR;45.00;;
PASCUA ST;NATIONAL HIWAY -GONZAGA;RR;45.00;;
ESMERIA ST;NATIONAL HIWAY - DUPAYA BLVD;RR;45.00;;
MARCH 17, 1907 ST;ALL BARANGAY ROADS;RR;45.00;;
MARCH 17, 1907 ST;INTERIOR LOTS;RR;40.00;;
MARCH 17, 1907 ST;NATIONAL HIWAY - DUPAYA BLVD;RR;45.00;;
J.P RIZAL ST;ADUCAYEA ST.-JUNE 5TH ST.;RR;45.00;;
AZCARRAZA ST.;ADUCAYEA ST.-JUNE 5TH ST.;RR;45.00;;
NEBAB ST;ADUCAYEA ST.-JUNE 5TH ST.;RR;45.00;;
NEBAB ST;ALL OTHER BARANGAY ROADS;RR;45.00;;
