RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
AFUSING DAGAI;BARANGAY ROAD;RR;10.00;;
AGANI;BARANGAY ROAD;RR;10.00;;
BACULOD;NATIONAL ROAD;RR;25.00;;
BACULOD;BARANGAY ROAD;RR;20.00;;
BAYBAYOG;NATIONAL ROAD;RR;25.00;;
BAYBAYOG;PROVINCIAL ROAD;RR;20.00;;
CABULUAN;BARANGAY ROAD;RR;10.00;;
CALANTAC;PROVINCIAL ROAD;RR;25.00;;
CALANTAC;BARANGAY ROAD;RR;10.00;;
CARALLANGAN;PROVINCIAL ROAD;RR;20.00;;
CARALLANGAN;BARANGAY ROAD;RR;10.00;;
DALAOIG;BARANGAY ROAD;RR;10.00;;
DAMUROG;BARANGAY ROAD;RR;10.00;;
JURISDICCION;BARANGAY ROAD;RR;20.00;;
MALALATAN;PROVINCIAL ROAD;RR;20.00;;
MALALATAN;BARANGAY ROAD;RR;10.00;;
MARABURAB;NATIONAL ROAD;RR;20.00;;
MARABURAB;BARANGAY ROAD;RR;10.00;;
MASIN;BARANGAY ROAD;RR;10.00;;
PAGBANGKERUAN;BARANGAY ROAD;RR;10.00;;
PARET;NATIONAL ROAD;RR;25.00;;
PARET;BARANGAY ROAD;RR;20.00;;
PIGGATAN;NATIONAL ROAD;RR;20.00;;
PIGGATAN;BARANGAY ROAD;RR;10.00;;
PINOPOC;BARANGAY ROAD;RR;10.00;;
PUSSIAN;BARANGAY ROAD;RR;10.00;;
TAMBAN;PROVINCIAL ROAD;RR;20.00;;
TAMBAN;BARANGAY ROAD;RR;10.00;;
SAN ESTEBAN;BARANGAY ROAD;RR;10.00;;
TUPANG;NATIONAL ROAD;RR;25.00;;
TUPANG;BARANGAY ROAD;RR;10.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;5.50;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;1.50;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;1.50;;
ALL LOTS;;A7;1.50;;
ALL LOTS;;A8;1.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY  :;POBLACION;;;;
AGLIPAY ST (BOTH SIDES);QUEZON ST-NATIONAL HIWAY;CR;110.00;;
;QUEZON ST-ROAD FOR ALLIG;RR;85.00;;
BURGOS ST (BOTH SIDES);RANILAS ST-NATIONAL HIWAY;RR;100.00;;
ROXAS ST  (NORTH SIDE);RANILAS ST-NATIONAL HIWAY;RR;100.00;;
(SOUTH SIDE);RANILAS ST-NATIONAL HIWAY;RR;85.00;;
TOLETA ST (NORTH SIDE);RANILAS ST-NATIONAL HIWAY;RR;85.00;;
