RDO:;RDO NO. 13 - TUGUEGARAO, CAGAYAN;;;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY:;ALL  BARANGAYS;;;;
ALL LOTS;;A1;10.00;;
ALL LOTS;;A2;5.00;;
ALL LOTS;;A3;3.50;;
ALL LOTS;;A4;5.00;;
ALL LOTS;;A6;9.00;;
ALL LOTS;;A7;1.50;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A15;1.50;;
ALL LOTS;;A16;3.50;;
ALL LOTS;;A17;4.50;;
ALL LOTS;;A18;3.50;;
ALL LOTS;;A47;3.50;;
ALL LOTS;;A50;3.50;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAYS :;CENTRO NORTE & CENTRO SUR;;;;
BURGOS ST;PONCE ST-MENDOZA ST;RR;60.00;;
BURGOS ST;MENDOZA ST-WOODED AREA;RR;50.00;;
COMMERCIO ST;NATIONAL ROAD-MENDOZA ST;RR;60.00;;
COMMERCIO ST;MENDOZA ST-WOODED AREA;RR;50.00;;
COMMERCIO ST;NATIONAL ROAD-VILLAMOR ST;RR;60.00;;
GONZAGA ST;NATIONAL ROAD-MENDOZA ST;RR;60.00;;
GONZAGA ST;MENDOZA ST-WOODED AREA;RR;50.00;;
GONZAGA ST;NATIONAL ROAD-VILLAMOR ST;RR;60.00;;
MABINI ST;NATIONAL ROAD-MENDOZA ST;RR;60.00;;
MABINI ST;MENDOZA ST-WOODED AREA;RR;50.00;;
MABINI ST;NATIONAL ROAD-VILLAMOR ST;RR;60.00;;
MABINI ST;VILLAMOR ST-DEAD END;RR;50.00;;
DAYAG ST;NATIONAL ROAD -PROPOSED ROAD;RR;60.00;;
DAYAG ST;PROPOSED ROAD-ROAD GOING TO   RURAL SCHOOL;RR;60.00;;
DAYAG ST;VILLAMOR ST-DEAD END;RR;50.00;;
SABNAY ST;NATIONAL ROAD-VILLAMOR ST;RR;55.00;;
SABNAY ST;NATIONAL ROAD-PROPOSED ROAD;RR;55.00;;
PROPOSED ROAD;;RR;60.00;;
NATIONAL ROAD;SABNAY ST-PONCE ST;RR;70.00;;
NATIONAL ROAD;SABNAY ST-PONCE ST;CR;100.00;;
NATIONAL ROAD;SABNAY ST-SPA COMPOUND;RR;70.00;;
NATIONAL ROAD;SABNAY ST-BARANGAY BOUNDERY;RR;60.00;;
NATIONAL ROAD;PONCE ST/SPA COMP.-BRGY BDRY;RR;60.00;;
GANNABAN ST;OCHOA ST-DAYAG ST;RR;60.00;;
MENDOZA ST;OCHOA ST-DAYAG ST;RR;60.00;;
PONCE ST;;RR;60.00;;
SINGSON ST;COMMERCIO ST-DAYAG ST;RR;60.00;;
VILLAMOR ST;COMMERCIO ST-SABNAY ST;RR;60.00;;
OCHOA ST;NATIONAL ROAD-MENDOZA ST;RR;60.00;;
OCHOA ST;MENDOZA ST-WOODED AREA;RR;50.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;ABBEG;;;;
ALL LOTS;PROVINCIAL ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;AFUSING BATO;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;AFUSING DAGAI;;;;
ALL LOTS;PROVINCIAL ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;AGANI;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;BACULOD;;;;
ALL LOTS;NATIONAL ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;INTERIOR LOTS;RR;30.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;BAYBAYOG;;;;
ALL LOTS;NATIONAL ROAD;RR;50.00;;
ALL LOTS;PROVINCIAL ROAD;RR;40.00;;
ALL LOTS;INTERIOR LOTS;RR;30.00;;
CITY \ MUNICIPALITY:;ALCALA;;;;
BARANGAY :;CABULUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;10.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;CALANTAC;;;;
ALL LOTS;PROVINCIAL ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;CARALLANGAN;;;;
ALL LOTS;PROVINCIAL ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;DALAOIG;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;DAMUROG;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;JURISDICCION;;;;
ALL LOTS;BARANGAY ROAD;RR;35.00;;
ALL LOTS;INTERIOR LOTS;RR;35.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;MALALATAN;;;;
ALL LOTS;PROVINCIAL ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;MARABURAB;;;;
ALL LOTS;NATIONAL ROAD;RR;45.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;MASIN;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;PAGBANGKERUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;PARET;;;;
ALL LOTS;NATIONAL ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;INTERIOR LOTS;RR;30.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;PIGGATAN;;;;
ALL LOTS;NATIONAL ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;PINOPOC;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;PUSSIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;TAMBAN;;;;
ALL LOTS;PROVINCIAL ROAD;RR;45.00;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;SAN ESTEBAN;;;;
ALL LOTS;BARANGAY ROAD;RR;25.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALCALA;;;;
CITY/MUNICIPALITY:;ALCALA;;;;
BARANGAY :;TUPANG;;;;
ALL LOTS;NATIONAL ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;RR;35.00;;
ALL LOTS;INTERIOR LOTS;RR;25.00;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;9.00;;
ALL LOTS;;A2;4.50;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;3.50;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;1.50;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A15;1.50;;
ALL LOTS;;A16;3.00;;
ALL LOTS;;A17;2.50;;
ALL LOTS;;A18;3.00;;
ALL LOTS;;A47;3.00;;
ALL LOTS;;A50;2.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY  :;POBLACION;;;;
AGLIPAY ST (BOTH SIDES);QUEZON ST-NATIONAL HIWAY;CR;240.00;;
;QUEZON ST-ROAD FOR ALLIG;RR;190.00;;
BURGOS ST (BOTH SIDES);RAVILAS ST-NATIONAL HIWAY;RR;230.00;;
ROXAS ST  (NORTH SIDE);RAVILAS ST-NATIONAL HIWAY;RR;230.00;;
(SOUTH SIDE);RAVILAS ST-NATIONAL HIWAY;RR;190.00;;
TOLETA ST (NORTH SIDE);RAVILAS ST-NATIONAL HIWAY;RR;190.00;;
(SOUTH SIDE);RAVILAS ST-NATIONAL HIWAY;RR;130.00;;
LUNA ST   (NORTH SIDE);RAVILAS ST-NATIONAL HIWAY;RR;200.00;;
(SOUTH SIDE);RAVILAS ST-NATIONAL HIWAY;RR;200.00;;
PROPOSED BARANGAY RD;NORTH OF AGLIPAY ST;RR;230.00;;
RAVILAS ST (RANILAS ST.);ROXAS ST - AGLIPAY ST;RR;230.00;;
RAVILAS ST (RANILAS ST.);ROXAS ST - TOLETE ST;RR;190.00;;
RAVILAS ST (RANILAS ST.);TOLETE ST - LUNA ST;RR;190.00;;
QUEZON ST;ROXAS ST - AGLIPAY ST;RR;220.00;;
QUEZON ST;ROXAS ST - TOLETE ST;RR;220.00;;
QUEZON ST;TOLETE ST - LUNA ST;RR;60.00;;
AGCAOILI ST;ROXAS ST - AGLIPAY ST;RR;100.00;;
AGCAOILI ST;ROXAS ST - TOLETE ST;RR;85.00;;
AGCAOILI ST;TOLETE ST - LUNA ST;RR;60.00;;
RIZAL ST;ROXAS ST - BURGOS ST;RR;220.00;;
RIZAL ST;BURGOS ST-AGLIPAY ST;CR;240.00;;
RIZAL ST;ROXAS ST - TOLETE ST;RR;190.00;;
RIZAL ST;TOLETE ST- LUNA ST;RR;190.00;;
NATIONAL HIWAY;DAGUPAN ST.-DAAN-ILI;CR;240.00;;
NATIONAL HIWAY;BURGOST ST- AGLIPAY ST;RR;230.00;;
NATIONAL HIWAY;BURGOS ST- TOLETE ST;RR;230.00;;
NATIONAL HIWAY;TOLETE ST - LUNA ST;RR;230.00;;
CERIA ST;BURGOST ST- AGLIPAY ST;RR;230.00;;
CERIA ST;BURGOS ST- TOLETE ST;RR;210.00;;
CERIA ST;TOLETE ST - LUNA ST;RR;55.00;;
ALL OTHER BARANGAY ROADS & INTERIORS ROADS;;RR;45.00;;
ALONG MUNICIPAL ROAD;300M FR. HIWAY-BUROT;RR;220.00;;
MAGSAYSAY ST.;QUEZON ST.-RIZAL ST.;CR;240.00;;
MAGSAYSAY ST.;QUEZON ST.-RIZAL ST.;RR;230.00;;
URBI ST.;TOLETE ST.-AGLIPAY ST.;RR;230.00;;
URBI ST.;TOLETE ST.-LUNA ST.;RR;190.00;;
URBI ST.;INTERIOR LOTS;RR;140.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;BESSANG;;;;
ALL LOTS;ALONG ALL BARANGAY ROADS;RR;90.00;;
ALL LOTS;INTERIOR LOTS;RR;45.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;BINUBUNGAN;;;;
ALL LOTS;ALONG ALL BARANGAY ROADS;RR;20.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;BULO;;;;
ALL LOTS;ALONG ALL BARANGAY ROADS;RR;90.00;;
ALL LOTS;INTERIOR LOTS;RR;35.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;BUROT;;;;
ALL LOTS;ALONG ALL BARANGAY ROADS;RR;35.00;;
ALL LOTS;INTERIOR LOTS;RR;20.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;CAPALUTAN;;;;
ALL LOTS;BARANGAY ROADS;RR;20.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;CAPAGARAN;;;;
ALL LOTS;ALONG ALL BARANGAY ROADS;RR;35.00;;
ALL LOTS;INTERIOR ROADS & LOTS;RR;20.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;CATARATAN;;;;
ALL LOTS;ALONG ALL BARANGAY ROADS;RR;25.00;;
ALL LOTS;INTERIOR ROADS & LOTS;RR;20.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;DAGUPAN;;;;
ALL LOTS;ALONG NATIONAL HIWAY;RR;90.00;;
ALL LOTS;OTHER BARANGAY ROAD;RR;50.00;;
ALL LOTS;INTERIOR ROADS & LOTS;RR;40.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;DALAYAP;;;;
ALL LOTS;ALONG BARANGAY ROADS;RR;20.00;;
ALL LOTS;INTERIOR LOTS;RR;15.00;;
CITY/MUNICIPALITY:;ALLACAPAN;;;;
BARANGAY :;DAAN-ILI;;;;
