RDO:;RDO NO. 25A - PLARIDEL BULACAN;;;FORMERLY RDO NO. 25 MALOLOS, BULACAN;
PROVINCE:;BULACAN;;;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;ANTIPONA;;;;
POBLACION;;RR;800.00;;
POBLACION;;CR;2,000.00;;
P. BURGOS ST.;;RR;750.00;;
J.P RIZAL ST.;;RR;750.00;;
LAKANDULA ST.;;RR;750.00;;
ZAMORA ST.;;RR;750.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BAMBANG;;;;
BAMBANG DIG;;RR;575.00;;
CARMEN SUBD.;;RR;575.00;;
SANTOS SUBD.;;RR;650.00;;
ST. MARTIN SUBD.;;RR;650.00;;
MIA ROAD;;RR;575.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;A1;125.00;;
ALL OTHER STREETS;;GP;250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BAGUMBAYAN;;;;
A. BONIFACIO ST.;;RR;750.00;;
P. GOMEZ ST.;;RR;750.00;;
L. JAENA ST.;;RR;750.00;;
M. H. DEL PILAR ST.;;RR;750.00;;
SANDICO ( PROVINCIAL ROAD);;RR;750.00;;
ALL OTHER STREETS;;RR;650.00;;
ALL OTHER STREETS;;A1;100.00;;
ALL OTHER STREETS;;A4;70.00;;
ALL OTHER STREETS;;GP;225.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BATIA;;;;
BARANGAY ROAD;;RR;450.00;;
MIA ROAD;;RR;450.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;;A1;100.00;;
ALL OTHER STREETS;;GP;75.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BIÑANG I;;;;
MC ARTHUR HIGHWAY;;RR;1,500.00;;
MC ARTHUR HIGHWAY;;CR;2,250.00;;
MC ARTHUR HIGHWAY;;A1;125.00;;
BINANG I BARANGAY ROAD;;RR;600.00;;
BARTOLOME ST.;;RR;600.00;;
GAVINO DELA RAMA ST.;;RR;600.00;;
MARCOS ROBLES ST.;;RR;600.00;;
MATEO DE GUZMAN ST.;;RR;600.00;;
REYES ST.;;RR;600.00;;
SAN JUAN ST.;;RR;600.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;A1;125.00;;
ALL OTHER STREETS;;GP;250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BIÑANG II;;;;
MACARTHUR HIGHWAY;;RR;1,500.00;;
MACARTHUR HIGHWAY;;CR;2,250.00;;
MACARTHUR HIGHWAY;;A1;125.00;;
BAGONG  ST.;;RR;600.00;;
MENDOZA I;;RR;600.00;;
MENDOZA II;;RR;600.00;;
MENDOZA III;;RR;600.00;;
ORTEGA ST.;;RR;600.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;A1;125.00;;
ALL OTHER STREETS;;GP;250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BOLAKAN;;;;
BARANGAY ROAD;;RR;500.00;;
BARANGAY ROAD;ALONG EXPRESSWAY;A1;85.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BUNDUKAN;;;;
PROVINCIAL ROAD;;RR;950.00;;
PROVINCIAL ROAD;;CR;1,450.00;;
PROVINCIAL ROAD;;A1;100.00;;
RAMIREZ ST.;;RR;525.00;;
BUNDUKAN MAIN ROAD;;RR;525.00;;
BETTER LIVING ROAD;;RR;525.00;;
KAYPALANGCO ROAD;;RR;525.00;;
BUNDUKAN-IGULOT ROAD;;RR;525.00;;
ALL OTHER STREETS;;RR;525.00;;
ALL OTHER STREETS;;A1;75.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BUNLO;;;;
MACARTHUR HIGHWAY;;RR;1,500.00;;
MACARTHUR HIGHWAY;;CR;2,250.00;;
MACARTHUR HIGHWAY;;A1;100.00;;
AGUSTIN TUAZON ST.;;RR;575.00;;
DEL ROSARIO ST.;;RR;575.00;;
DELA CRUZ ST.;;RR;575.00;;
DYN ST.;;RR;575.00;;
LIBIS NG NAYON ST.;;RR;575.00;;
MERCEDEZ ST.;;RR;575.00;;
NEW CALLE MADRID;;RR;575.00;;
ALL OTHER STREETS;;RR;575.00;;
ALL OTHER STREETS;;A1;100.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;CAINGIN;;;;
PROVINCIAL ROAD;;RR;1,100.00;;
PROVINCIAL ROAD;;CR;1,750.00;;
PROVINCIAL ROAD;;A1;100.00;;
BARANGAY ROAD;;RR;525.00;;
ALL OTHER STREETS;;RR;525.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;DUHAT;;;;
ALONG PROVINCIAL ROAD;;RR;1,400.00;;
BALUBARAN ST.;;RR;450.00;;
LIBON ST.;;RR;450.00;;
PUROK GITNA;;RR;450.00;;
M. CAPIRAL;;RR;450.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;ALONG NORTH DIVERSION RD;A1;150.00;;
ALL OTHER STREETS;ALONG NORTH DIVERSION RD;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;IGULOT;;;;
KAYPALANGKO ST.;;RR;375.00;;
MANGGAHAN ST.;;RR;375.00;;
AGAPITO ROAD;;RR;375.00;;
BIÑANG-IGULOT;;RR;375.00;;
AGUSTIN ROAD;;RR;375.00;;
ALL OTHER STREETS;;RR;375.00;;
ALL OTHER STREETS;;A1;60.00;;
ALL OTHER STREETS;;GP;85.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;LOLOMBOY;;;;
MACARTHUR HIGHWAY;;RR;1,750.00;;
MACARTHUR HIGHWAY;;CR;2,500.00;;
AZICATE HOMES;;RR;700.00;;
DEL CARMEN SUBD.;;RR;700.00;;
FARMER SUBD.;;RR;700.00;;
VILLA RITA SUBD.;;RR;700.00;;
VILLA VERONICA SUBD.;;RR;700.00;;
LA TRINIDAD SUBD.;;RR;700.00;;
BANLOS ST.;;RR;575.00;;
BLANCO ST.;;RR;575.00;;
BOLINA ST.;;RR;575.00;;
CALLE DE CASTRO;;RR;575.00;;
GARAHE ST.;;RR;575.00;;
DAUNGAN ST.;;RR;575.00;;
J. FRANCISCO ST.;;RR;575.00;;
MENDOZA ST.;;RR;575.00;;
MERALCO ST.;;RR;575.00;;
POTRERO ST.;;RR;575.00;;
ROXAS ST.;;RR;575.00;;
PARAISO ST.;;RR;575.00;;
ALL OTHER STREETS;;RR;575.00;;
ALL OTHER STREETS;;A1;125.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;SULUCAN;;;;
DAHATI SUBD.;;RR;725.00;;
ZAPFRA SUBD.;;RR;725.00;;
J. LUNA ST.;;RR;575.00;;
A. MABINI ROAD;;RR;575.00;;
NIA ROAD;;RR;575.00;;
M. H. DEL PILAR ST.;;RR;575.00;;
J. P. RIZAL ST.;;RR;575.00;;
SANDICO ROAD (PROV'L ROAD);;RR;700.00;;
ALL OTHER STREETS;;RR;575.00;;
ALL OTHER STREETS;;A1;100.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;TURO;;;;
PROVINCIAL ROAD;;RR;1,250.00;;
PROVINCIAL ROAD;;CR;2,000.00;;
PROVINCIAL ROAD;;A1;125.00;;
O. ENRIQUEZ SUBD.;;RR;700.00;;
D. REYES SUBD.;;RR;700.00;;
RAMIREZ SUBD.;;RR;700.00;;
D. RAMIREZ ST.;;RR;550.00;;
L. FRANCISCO ST.;;RR;550.00;;
F. VOLUNDTAD ST.;;RR;550.00;;
S. VOLUNDTAD ST.;;RR;550.00;;
ROXAS ST.;;RR;550.00;;
C. MENDOZA ST.;;RR;550.00;;
P. MENDOZA ST.;;RR;550.00;;
BERNARDO ST.;;RR;550.00;;
MAURICIO ST.;;RR;550.00;;
P. SANTIAGO ST.;;RR;550.00;;
P. REYES ST.;;RR;550.00;;
ALL OTHER STREETS;;RR;550.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;WAKAS ST;;;;
MACARTHUR HIGHWAY;;RR;1,750.00;;
MACARTHUR HIGHWAY;;CR;2,500.00;;
MACARTHUR HIGHWAY;;A1;100.00;;
PROVINCIAL ROAD;;RR;1,475.00;;
PROVINCIAL ROAD;;CR;2,250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;TAAL;;;;
PROVINCIAL ROAD;;RR;1,150.00;;
PROVINCIAL ROAD;;CR;1,750.00;;
LAZARO-CASTILLO-NICOLAS;;RR;525.00;;
MARTIN-FRANCISCO-CRUZ;;RR;525.00;;
DE GUZMAN-FRANCISCO-TEODORO;;RR;525.00;;
GARCIA-ENRIQUEZ-SALVADOR;;RR;525.00;;
NICOLAS-MARTIN-CASTRO-TEMPO;;RR;525.00;;
SANTOS-MENDOZA-DIAZ-DAUNGAN;;RR;525.00;;
GERALDEZ-ROJAS-FRANCISCO-JOSE;;RR;525.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;A1;125.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;TAMBOBONG;;;;
PROVINCIAL ROAD;;RR;450.00;;
PROVINCIAL ROAD;;CR;625.00;;
PROVINCIAL ROAD;;A1;100.00;;
F. F. CRUZ ST;;RR;375.00;;
R. S. SANTIAGO ST.;;RR;375.00;;
TAMBOBONG-BATIA ROAD;;RR;425.00;;
REYES ST.;;RR;375.00;;
TUGATOG ROAD;;RR;375.00;;
ALL OTHER STREETS;;RR;375.00;;
ALL OTHER STREETS;;GP;225.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;ABANGAN NORTE;;;;
MACARTHUR HIGHWAY;;RR;2,400.00;;
MACARTHUR HIGHWAY;;CR;2,400.00;;
MACARTHUR HIGHWAY;INTERIOR;RR;1,350.00;;
MACARTHUR HIGHWAY;INTERIOR;CR;1,900.00;;
NEAR MUNICIPAL STS;;RR;900.00;;
NEAR MUNICIPAL STS;INTERIOR;RR;700.00;;
MA. SOCORRO SUBD.;;RR;1,000.00;;
TOWN & COUNTRY EXECUTIVE VILLAGE;;RR;1,700.00;;
VICTORINA HOMESITE;;RR;1,000.00;;
J. D. DELOS SANTOS SUBD.;;RR;1,000.00;;
ALL OTHER STREETS;;GP;600.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;ABANGAN SUR;;;;
MACARTHUR HIGHWAY;;RR;2,400.00;;
MACARTHUR HIGHWAY;;CR;2,400.00;;
MACARTHUR HIGHWAY;INTERIOR;RR;1,900.00;;
MACARTHUR HIGHWAY;INTERIOR;CR;1,900.00;;
OTHER MUNICIPAL STS;;RR;1,100.00;;
OTHER MUNICIPAL STS;;CR;1,100.00;;
OTHER MUNICIPAL STS;INTERIOR;RR;800.00;;
OTHER MUNICIPAL STS;INTERIOR;I;500.00;;
OTHER MUNICIPAL STS;INTERIOR;A;300.00;;
GONZALES SUBD.;;RR;1,200.00;;
FAUSTA VILLAGE;;RR;1,200.00;;
MA. RAMOS SUBD.;;RR;1,200.00;;
E. DELA CRUZ SUBD.;;RR;1,000.00;;
ALL OTHER STREETS;;GP;300.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;IBAYO;;;;
MACARTHUR HIGHWAY;;RR;2,400.00;;
MACARTHUR HIGHWAY;;CR;2,400.00;;
MACARTHUR HIGHWAY;INTERIOR;RR;1,500.00;;
MACARTHUR HIGHWAY;INTERIOR;CR;1,900.00;;
NEAR MUNICIPAL ROADS;;RR;800.00;;
NEAR MUNICIPAL ROADS;;A;300.00;;
NEAR MUNICIPAL ROADS;;I;500.00;;
NEAR MUNICIPAL ROADS;INTERIOR;RR;700.00;;
NEAR MUNICIPAL ROADS;INTERIOR;CR;700.00;;
NEAR MUNICIPAL ROADS;INTERIOR;I;500.00;;
INNER LOTS;;CR;700.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;I;500.00;;
SAINT MARTIN SUBD.;;RR;1,200.00;;
ARSENIO HEIGHTS SUBD.;;RR;1,200.00;;
MANZANO REALTY SUBD.;;RR;1,200.00;;
ALL OTHER STREETS;;GP;300.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;LAMBAKIN;;;;
NEAR PROVINCIAL OR NUNICIPAL ROADS;;RR;1,000.00;;
NEAR PROVINCIAL OR NUNICIPAL ROADS;;CR;1,000.00;;
NEAR PROVINCIAL OR NUNICIPAL ROADS;;I;700.00;;
NEAR PROVINCIAL OR NUNICIPAL ROADS;;A;500.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;CR;700.00;;
INNER LOTS;;I;500.00;;
INNER LOTS;;A;300.00;;
ALL OTHER STREETS;;GP;300.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;LIAS;;;;
PROVINCIAL ROAD;;CR;2,400.00;;
PROVINCIAL ROAD;;RR;2,400.00;;
INNER LOTS;;CR;1,900.00;;
INNER LOTS;;RR;1,900.00;;
INNER LOTS;;I;500.00;;
INNER LOTS;;A;300.00;;
NEAR MUNICIPAL ST;;RR;700.00;;
NEAR MUNICIPAL ST;;I;500.00;;
NEAR MUNICIPAL ST;;A;300.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;I;500.00;;
MERALCO VILLAGE;;RR;1,500.00;;
SAINT MICHAEL SUBD.;;RR;1,500.00;;
ALL OTHER STREETS;;RR;300.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;LOMA DE GATO;;;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;RR;700.00;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;CR;700.00;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;I;700.00;;
NEAR PROVINCIAL OR MUNICIPAL ROAD;;A;300.00;;
INNER LOTS;;RR;400.00;;
INNER LOTS;;CR;500.00;;
INNER LOTS;;A;250.00;;
PELAGIO DE VERA SUBD.;;RR;500.00;;
R. DEL ROSARIO SUBD.;;RR;500.00;;
ALL OTHER STREET;;GP;300.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;NAGBALON;;;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;RR;800.00;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;CR;800.00;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;I;650.00;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;A;400.00;;
INNER LOTS;;RR;600.00;;
INNER LOTS;;CR;600.00;;
INNER LOTS;;I;450.00;;
INNER LOTS;;A;225.00;;
ALL OTHER STREETS;;GP;200.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;PATUBIG;;;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;RR;800.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;CR;800.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;I;500.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;A;300.00;;
INNER LOTS;;RR;500.00;;
INNER LOTS;;CR;500.00;;
INNER LOTS;;I;500.00;;
INNER LOTS;;A;300.00;;
ALL OTHER STREETS;;GP;300.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;POBLACION I;;;;
SAN MIGUEL ST.;;CR;1,200.00;;
SAN MIGUEL ST.;;RR;1,200.00;;
SANDICO ST.;;CR;1,200.00;;
SANDICO ST.;;RR;1,200.00;;
ZULUETA ST.;;RR;1,000.00;;
C. SANTIAGO ST.;;CR;1,000.00;;
C. SANTIAGO ST.;;RR;1,000.00;;
ALL OTHER STREET;;RR;1,000.00;;
ALL OTHER STREET;;GP;1,000.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;POBLACION II;;;;
MCARTHUR HIWAY;;CR;2,800.00;;
MCARTHUR HIWAY;;RR;2,350.00;;
SANDICO ST.;;CR;2,350.00;;
SANDICO ST.;;RR;2,000.00;;
SAN MIGUEL ST.;;CR;1,400.00;;
SAN MIGUEL ST.;;RR;1,200.00;;
TAWIRAN;;RR;1,200.00;;
CALLEJON;;RR;1,200.00;;
DURAN ST.;;RR;1,200.00;;
R. DE VERA ST.;;RR;1,200.00;;
BERNARDINO ST.;;RR;1,200.00;;
SANTO TOMAS ST.;;RR;1,200.00;;
J. CRUZ ST.;;RR;1,200.00;;
J. DE DIOS ST.;;RR;1,200.00;;
J. DE DIOS ST.;;CR;1,350.00;;
ALL OTHER STREET;;RR;1,100.00;;
ALL OTHER STREET;;GP;400.00;;
NEAR MUNICIPAL ROADS;;A1;400.00;;
NEAR MUNICIPAL ROADS;;A2;400.00;;
INNER LOTS;;A;400.00;;
CONSTANTINO SUBD.;;RR;1,100.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;PRENZA I;;;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;CR;1,000.00;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;RR;1,000.00;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;I;550.00;;
NEAR PROVINCIAL OR MUNICIPAL ROADS;;A;300.00;;
INNER LOTS;;CR;500.00;;
INNER LOTS;;RR;500.00;;
INNER LOTS;;I;500.00;;
INNER LOTS;;A;300.00;;
ALL OTHER STREETS;;GP;300.00;;
