RDO:;RDO NO. 47 - EAST MAKATI;;;;
EAST DRIVE;AYALA CENTER;CR;276,250.00;;
HIGHWAY DRIVE;AYALA CENTER;CR;276,250.00;;
HOTEL DRIVE;AYALA CENTER;CR;276,250.00;;
MAKATI DRIVE;AYALA CENTER;CR;276,250.00;;
NORTH DRIVE;AYALA CENTER;CR;276,250.00;;
OFFICE DRIVE;AYALA CENTER;CR;276,250.00;;
PARK SQUARE DRIVE;AYALA CENTER;CR;276,250.00;;
RIZAL DRIVE;AYALA CENTER;CR;276,250.00;;
SOUTH DRIVE;AYALA CENTER;CR;276,250.00;;
WEST DRIVE;AYALA CENTER;CR;276,250.00;;
ALL OTHER STREETS;WITHIN AYALA CENTER;CR;276,250.00;;
A. ARNAIZ;LEGASPI VILLAGE SIDE;CR;210,000.00;;
A. ARNAIZ;SAN LORENZO VILLAGE SIDE;CR;196,000.00;;
ADELANTADO;LEGASPI VILLAGE;CR;185,000.00;;
AGUIRRE;LEGASPI VILLAGE;CR;185,000.00;;
AMORSOLO ST;LEGASPI VILLAGE;CR;185,000.00;;
AYALA AVENUE;LEGASPI VILLAGE;CR;439,000.00;;
BENAVIDEZ;LEGASPI VILLAGE;CR;185,000.00;;
BENAVIDEZ;LEGASPI VILLAGE;X;148,000.00;;
BOLANOS;LEGASPI VILLAGE;CR;185,000.00;;
CARLOS PALANCA;LEGASPI VILLAGE;CR;185,000.00;;
CASTRO;LEGASPI VILLAGE;CR;185,000.00;;
DELA ROSA;LEGASPI VILLAGE;CR;261,250.00;;
ESPERANZA;LEGASPI VILLAGE;CR;185,000.00;;
ESTEBAN;LEGASPI VILLAGE;CR;247,500.00;;
GALLARDO;LEGASPI VILLAGE;CR;185,000.00;;
GAMBOA;LEGASPI VILLAGE;CR;185,000.00;;
GIL;LEGASPI VILLAGE;CR;185,000.00;;
GREENBELT;LEGASPI VILLAGE;CR;275,000.00;;
JIMENEZ;LEGASPI VILLAGE;CR;185,000.00;;
LEGASPI ST;LEGASPI VILLAGE;CR;275,000.00;;
LEGASPI ST;LEGASPI VILLAGE;X;220,000.00;;
MAKATI AVENUE;LEGASPI VILLAGE;CR;250,000.00;;
NIEVA;LEGASPI VILLAGE;CR;185,000.00;;
ORMAZA;LEGASPI VILLAGE;CR;185,000.00;;
PASEO DE ROXAS;LEGASPI VILLAGE;CR;292,500.00;;
PASEO DE ROXAS;LEGASPI VILLAGE;X;234,000.00;;
PEREA;LEGASPI VILLAGE;CR;185,000.00;;
RADA;LEGASPI VILLAGE;CR;185,000.00;;
RADA;LEGASPI VILLAGE;X;148,000.00;;
RODRIGUEZ;LEGASPI VILLAGE;CR;185,000.00;;
SALCEDO;LEGASPI VILLAGE;CR;275,000.00;;
SALCEDO;LEGASPI VILLAGE;X;220,000.00;;
SORIA;LEGASPI VILLAGE;CR;185,000.00;;
SOTTO;LEGASPI VILLAGE;CR;185,000.00;;
TRASIERRA;LEGASPI VILLAGE;CR;185,000.00;;
V. A. RUFINO;LEGASPI VILLAGE;CR;255,000.00;;
ALL OTHER STREETS;WITHIN LEGASPI VILLAGE;CR;185,000.00;;
ABELARDO;SAN LORENZO VILLAGE;RR;50,000.00;;
AMORSOLO;SAN LORENZO VILLAGE;RR;50,000.00;;
APOSTOL;SAN LORENZO VILLAGE;RR;50,000.00;;
ARGUILLA;SAN LORENZO VILLAGE;RR;50,000.00;;
BALMORI;SAN LORENZO VILLAGE;RR;50,000.00;;
BRIONES;SAN LORENZO VILLAGE;RR;50,000.00;;
EDADES;SAN LORENZO VILLAGE;RR;50,000.00;;
ESTELA;SAN LORENZO VILLAGE;RR;50,000.00;;
HERNANDEZ;SAN LORENZO VILLAGE;RR;50,000.00;;
HIDALGO;SAN LORENZO VILLAGE;RR;50,000.00;;
JOAQUIN;SAN LORENZO VILLAGE;RR;50,000.00;;
JUAN LUNA;SAN LORENZO VILLAGE;RR;50,000.00;;
LIPPAY;SAN LORENZO VILLAGE;RR;50,000.00;;
MELANTIC;SAN LORENZO VILLAGE;RR;50,000.00;;
NACPIL;SAN LORENZO VILLAGE;RR;50,000.00;;
PONCE;SAN LORENZO VILLAGE;RR;50,000.00;;
ROCHA;SAN LORENZO VILLAGE;RR;50,000.00;;
SAN LORENZO DRIVE;SAN LORENZO VILLAGE;RR;60,000.00;;
TAMPINGCO;SAN LORENZO VILLAGE;RR;50,000.00;;
TOLENTINO;SAN LORENZO VILLAGE;RR;50,000.00;;
ZARAGOZA;SAN LORENZO VILLAGE;RR;50,000.00;;
ZIPPER;SAN LORENZO VILLAGE;RR;50,000.00;;
ZULUETA;SAN LORENZO VILLAGE;RR;50,000.00;;
ALL OTHER STREETS;WITHIN SAN LORENZO VILLAGE;RR;50,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
III PASEO DE ROXAS;PASEO DE ROXAS ST;CC;60,000.00;;
III PASEO DE ROXAS;PASEO DE ROXAS ST;PS;36,000.00;;
ALEXANDRE HOUSE CONDOMINIUM;AMORSOLO ST;CC;0.00;Ownership to ALEXANDRE HOUSE CONDOMINIUM is not a Condominium Certificate of Title (CCT), as justified by the RDO.;
ALL SEASONS BUILDING;AGUIRRE ST;CC;57,500.00;;
ALL SEASONS BUILDING;AGUIRRE ST;PS;34,500.00;;
AMORSOLO CONDOMINIUM APARTMENTS;AMORSOLO ST;RC;48,500.00;;
AMORSOLO CONDOMINIUM APARTMENTS;AMORSOLO ST;CC;58,200.00;;
AMORSOLO CONDOMINIUM APARTMENTS;AMORSOLO ST;PS;34,920.00;;
AMORSOLO MANSION;AMORSOLO - V.A. RUFINO;RC;48,500.00;;
AMORSOLO MANSION;AMORSOLO - V.A. RUFINO;CC;58,200.00;;
AMORSOLO MANSION;AMORSOLO - V.A. RUFINO;PS;34,920.00;;
ASIA TOWER;PASEO DE ROXAS;RC;74,800.00;;
ASIA TOWER;PASEO DE ROXAS;CC;89,760.00;;
ASIA TOWER;PASEO DE ROXAS;PS;53,860.00;;
ASIAN MANSION I;DELA ROSA ST;RC;52,800.00;;
ASIAN MANSION I;DELA ROSA ST;CC;63,360.00;;
ASIAN MANSION I;DELA ROSA ST;PS;38,000.00;;
ASIAN MANSION II;DELA ROSA ST - NIEVA;RC;70,000.00;;
ASIAN MANSION II;DELA ROSA ST - NIEVA;CC;84,000.00;;
ASIAN MANSION II;DELA ROSA ST - NIEVA;PS;50,400.00;;
ASIAN REINSURANCE;GAMBOA/SALCEDO;CC;60,000.00;;
ASIAN REINSURANCE;GAMBOA/SALCEDO;PS;36,000.00;;
BASIC PETROLEUM BUILDING;C. PALANCA ST;CC;67,500.00;;
BASIC PETROLEUM BUILDING;C. PALANCA ST;PS;40,500.00;;
