RDO:;RDO NO. 34 - PACO - PANDACAN - STA. ANA;;;(FORMERLY RDO NO.  25  -  SOUTH MANILA);
A SORIANO JR.   REAL;ARZOBISPO - SOLANA;CR;14,000.00;;
ARZOBISPO;A SORIANO JR - STA CLARA;CR;9,400.00;;
CABILDO;A SORIANO JR - STA CLARA;CR;10,500.00;;
GEN. LUNA;A SORIANO JR - STA CLARA;CR;10,500.00;;
STA. CLARA;ARZOBISPO - CABILDO;CR;9,400.00;;
ALL OTHER STREETS;ARZOBISPO - CABILDO;CR;9,400.00;;
BARANGAY:;BARANGAY  657 ZONE  70;;;;
CABILDO;VICTORIA - MURALLA;CR;9,400.00;;
ESCUELA;VICTORIA - RECOLETOS;CR;11,700.00;;
ESCUELA;VICTORIA - RECOLETOS;CR;10,500.00;;
GEN LUNA;VICTORIA - MURALLA;CR;10,500.00;;
MAGALLANES;VICTORIA - RECOLETOS;CR;9,400.00;;
MURALLA;VICTORIA - STA. LUCIA;CR;9,400.00;;
REAL;STA LUCIA - MURALLA;CR;10,500.00;;
RECOLETOS;CABILDO - MURALLA;CR;9,400.00;;
SAN JOSE;GEN LUNA - CABILDO;CR;9,400.00;;
STA LUCIA;VICTORIA - MURALLA;CR;9,400.00;;
VICTORIA;MURALLA - STA LUCIA;CR;9,400.00;;
BARANGAY:;BARANGAY  658 ZONE  70;;;;
BASCO;STA POTENCIANA - VICTORIA;CR;9,400.00;;
CABILDO;REAL - VICTORIA;CR;9,400.00;;
GEN LUNA;REAL - VICTORIA;CR;10,500.00;;
LEGASPI;REAL - SAN FRANCISCO;CR;9,400.00;;
MAGALLANES;REAL - VICTORIA;CR;9,400.00;;
MURALLA;REAL - VICTORIA;CR;9,400.00;;
REAL;STA LUCIA - MURALLA;CR;10,500.00;;
SAN FRANCISCO;MURALLA - SOLANA;CR;9,400.00;;
SOLANA;REAL - VICTORIA;CR;9,400.00;;
STA. LUCIA;REAL - VICTORIA;CR;9,400.00;;
STA. POTENCIANA;SOLANA - STA LUCIA;CR;9,400.00;;
VICTORIA;MURALLA - STA LUCIA;CR;9,400.00;;
BARANGAY:;BARANGAY  659 ZONE  71;;;;
AYALA BLVD;TAFT AVE - D ROMUALDEZ;CR;10,000.00;;
COLON;CONCEPCION - AYALA BLVD;RR;3,400.00;;
CONCEPCION;CONCEPCION - AYALA BLVD;RR;6,000.00;;
CONCEPCION;ARROCEROS - AYALA BLVD;CR;11,700.00;;
E FERNANDEZ (SAN MARCELINO);CONCEPCION - AYALA BLVD;RR;6,000.00;;
E FERNANDEZ (SAN MARCELINO);ARROCEROS - AYALA BLVD;CR;12,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
ALL OTHER STREETS;;RR;3,400.00;;
BARANGAY:;BARANGAY  659-A ZONE  71;;;;
DR. BASA;ARROCEROS - P BURGOS;CR;7,000.00;;
GEN LUNA;MURALLA - P BURGOS;CR;7,000.00;;
