RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
EST DELA REINA;CHACON-RAJAH MATANDA;RR;1,400.00;;
JUAN LUNA;HERRERA-RAJA MATANDA;CR;7,500.00;;
MORGA;P. HERRERA-J. LUNA;RR;2,150.00;;
P. HERRERA;J. LUNA-E. DELA REINA;CR;3,200.00;;
BARANGAY:;BARANGAY  10 ZONE  1;;;;
C. M. RECTO;J. LUNA-E. DELA REINA;CR;13,500.00;;
ESTERO DELA REINA;C. RECTO-RAJA MATANDA;RR;1,500.00;;
JUAN LUNA;R. MATANDA-C. M. RECTO;CR;7,750.00;;
BARANGAY:;BARANGAY  11 ZONE  2;;;ZONE 2 IS BOUNDED BY:     NORTH  -  LAKANDULA (FROM MARCOS ROAD TO ASUNCION)     SOUTH  -  C. M. RECTO (FROM ASUNCION TO MARCOS ROAD)     WEST    -  ASUNCION (FROM LAKANDULA TO C. M. RECTO)     EAST     -  MARCOS ROAD (FROM C. M. RECTO TO LAKANDULA);
ASUNCION;C.M. RECTO-SAN ANTONIO;CR;4,000.00;;
BO. SAN ANTONIO;ASUNCION-WAGAS EXT.;RR;1,000.00;;
C.M. RECTO;DEL PAN-TAHIMIK;CR;5,200.00;;
WAGAS EXTENSION;TAHIMIK-SAN ANTONIO;RR;1,000.00;;
BARANGAY:;BARANGAY  12 ZONE  2;;;;
C. M. RECTO;DEL PAN-TAHIMIK;CR;5,950.00;;
DEL PAN;C.M. RECTO -WAGAS EXT.;CR;2,500.00;;
TAHIMIK;C.M. RECTO -WAGAS EXT.;RR;1,000.00;;
WAGAS EXTENSION;DEL PAN-TAHIMIK;RR;1,000.00;;
BARANGAY:;BARANGAY  13 ZONE  2;;;;
ASUNCION;SAN ANTONIO-ZARAGOSA;CR;4,000.00;;
SAN ANTONIO;ASUNCION-STO. NINO;RR;1,000.00;;
SANTO NINO;SAN ANTONIO-ZARAGOSA;RR;1,100.00;;
ZARAGOSA EXTENSION;ASUNCION-STO. NINO;CR;4,000.00;;
ZARAGOSA EXTENSION;ASUNCION-STO. NINO;RR;2,000.00;;
BARANGAY:;BARANGAY  14 ZONE  2;;;;
ASUNCION;BO. SAN ANTONIO;CR;4,000.00;;
BO. SAN ANTONIO;ASUNCION-WAGAS EXT.;RR;1,000.00;;
BO. SAN ANTONIO;ASUNCION-WAGAS EXT.;X;2,000.00;;
WAGAS EXTENSION;BO. SAN ANTONIO;RR;1,000.00;;
BARANGAY:;BARANGAY  15 ZONE  2;;;;
DEL PAN EXTENSION;ZAARAGOSA EXT.;CR;4,400.00;;
DEL PAN EXTENSION;ZARAGOSA EXT.;RR;1,000.00;;
SANTO NINO;SAN ANTONIO-ZARAGOSA;RR;1,100.00;;
ZARAGOSA EXTENSION;STO. NINO-DEL PAN EXT.;CR;4,000.00;;
ZARAGOSA EXTENSION;STO. NINO-DEL PAN EXT.;RR;1,800.00;;
BARANGAY:;BARANGAY  16 ZONE  2;;;;
DEL PAN EXTENSION;WAGAS EXT.-KAGITINGAN;CR;4,000.00;;
DEL PAN EXTENSION;WAGAS EXT.-KAGITINGAN;RR;1,000.00;;
KAGITINGAN;DEL PAN EXT.-WAGAS;RR;1,000.00;;
BARANGAY:;BARANGAY  17 ZONE  2;;;;
DEL PAN  EXTENSION;ZARAGOSA EXT.;CR;4,000.00;;
DEL PAN  EXTENSION;ZARAGOSA EXT.;RR;1,350.00;;
ZARAGOSA EXTENSION;LUALHATI-DEL PAN EXT.;CR;4,000.00;;
ZARAGOSA EXTENSION;LUALHATI-DEL PAN EXT.;RR;1,500.00;;
ALL OTHER STREETS;;CR;4,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY  18 ZONE  2;;;;
DEL PAN EXTENSION;DEL PAN BRIDGE;CR;2,500.00;;
KAGITINGAN;BARRIO SLIP ZERO;RR;1,200.00;;
SLIP ZERO;NEAR MICT;RR;1,100.00;;
BARANGAY:;BARANGAY  19 ZONE  2;;;;
KAGITINGAN;ZARAGOSA-SLIP ZERO;RR;1,000.00;;
ZARAGOSA EXTENSION;KAGITINGAN-DEL PAN;CR;4,000.00;;
ZARAGOSA EXTENSION;KAGITINGAN-DEL PAN;RR;1,800.00;;
BARANGAY:;BARANGAY  20 ZONE  2;;;;
KAGITINGAN;ZARAGOSA-SLIP ZERO;RR;1,000.00;;
MARCOS ROAD;ZARAGOSA-BONIFACIO V;CR;4,000.00;;
ZARAGOSA EXTENSION;KAGITINGAN-MARIA RD.;CR;4,000.00;;
ZARAGOSA EXTENSION;KAGITINGAN-MARIA RD.;RR;1,750.00;;
BARANGAY:;BARANGAY  25 ZONE  2;;;;
ASUNCION;ZARAGOSA-ZABALA;CR;4,000.00;;
CAMBA;ASUNCION-WAGAS;RR;1,050.00;;
HINAHON;ZARAGOSA-ZABALA;RR;1,000.00;;
MASIKAP;ZARAGOSA-ZABALA;RR;1,000.00;;
MATIISIN;ZARAGOSA-ZABALA;RR;1,000.00;;
MATIMTIMAN;ZARAGOSA-ZABALA;RR;1,000.00;;
PADRE RADA;ZARAGOSA-ZABALA;CR;3,300.00;;
WAGAS;ZARAGOSA-ZABALA;RR;1,000.00;;
ZABALA;ASUNCION-WAGAS;RR;1,100.00;;
ZARAGOSA EXT.;ASUNCION-WAGAS;CR;4,000.00;;
ZARAGOSA EXT.;ASUNCION-WAGAS;RR;1,750.00;;
BARANGAY:;BARANGAY  26 ZONE  2;;;;
ASUNCION;ZABALA-P. HERRERA;CR;4,000.00;;
BALAGTAS;ZABALA-P. HERRERA;RR;1,000.00;;
HERRERA;ASUNCION-WAGAS;CR;3,150.00;;
MARIA PAYO;ZABALA-P. HERRERA;RR;1,250.00;;
PAGHANAPIN;ZABALA-P. HERRERA;RR;1,000.00;;
R. MABAGOS;ZABALA-P. HERRERA;RR;1,000.00;;
WAGAS;ZABALA-P. HERRERA;RR;1,000.00;;
ZABALA;ASUNCION-WAGAS;RR;1,100.00;;
BARANGAY:;BARANGAY  28 ZONE  2;;;;
BALAGTAS;ZARAGOSA-P. HERRERA;RR;1,000.00;;
HERRERA;KASIPAGAN-KAGITINGAN;RR;1,000.00;;
HINAHON;ZARAGOSA-P. HERRERA;RR;1,000.00;;
KAGITINGAN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MARIA PAYO;ZARAGOSA-P. HERRERA;RR;1,050.00;;
MASIKAP;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MATIISIN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MATIMTIMAN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
PADRE RADA;ZARAGOSA-P. HERRERA;RR;1,000.00;;
PAGHANAPIN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
R. MABAGOS;ZARAGOSA-P. HERRERA;RR;1,000.00;;
ZABALA;ZARAGOSA-P. HERRERA;RR;1,100.00;;
ZARAGOSA;KASIPAGAN-KAGITINGAN;CR;4,000.00;;
ZARAGOSA;KASIPAGAN-KAGITINGAN;RR;1,250.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  29 ZONE  2;;;;
BALAGTAS;ZARAGOSA-P. HERRERA;RR;1,000.00;;
HERRERA;TAGUMPAY-KAGITINGAN;RR;1,000.00;;
HINAHON;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MARIA PAYO;ZARAGOSA-P. HERRERA;RR;1,250.00;;
MASIKAP;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MATIISIN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MATIMTIMAN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
PADRE RADA;ZARAGOSA-P. HERRERA;RR;1,000.00;;
PAGHANAPIN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
R. MABAGOS;ZARAGOSA-P. HERRERA;RR;1,000.00;;
TAGUMPAY;ZARAGOSA-P. HERRERA;RR;1,000.00;;
ZABALA;ZARAGOSA-P. HERRERA;RR;1,100.00;;
ZARAGOSA EXT.;KAGITINGAN-TAGUMPAY;CR;4,000.00;;
ZARAGOSA EXT.;KAGITINGAN-TAGUMPAY;RR;1,800.00;;
BARANGAY:;BARANGAY  30 ZONE  2;;;;
BALAGTAS;ZARAGOSA P. HERRERA;RR;1,000.00;;
HERRERA;TAGUMPAY-MARCOS RD.;RR;1,000.00;;
HINAHON;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MARCOS ROAD;ZARAGOSA-P. HERRERA;CR;3,650.00;;
MARIA PAYO;ZARAGOSA-P. HERRERA;RR;1,250.00;;
MASIKAP;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MATIISIN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
MATIMTIMAN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
PADRE RADA;ZARAGOSA-P. HERRERA;RR;1,000.00;;
PAGHANAPIN;ZARAGOSA-P. HERRERA;RR;1,000.00;;
R. MABAGOS;ZARAGOSA-P. HERRERA;RR;1,000.00;;
ZABALA;ZARAGOSA-P. HERRERA;RR;1,100.00;;
ZARAGOSA EXT.;TAGUMPAY-MARCOS RD.;CR;4,000.00;;
ZARAGOSA EXT.;TAGUMPAY-MARCOS RD.;RR;1,250.00;;
BARANGAY:;BARANGAY  31 ZONE  2;;;;
BALAGTAS;ZABALA-P. HERRERA;RR;1,000.00;;
HERRERA;TAGUMPAY-MARCOS RD.;RR;1,000.00;;
MARIA PAYO;ZABALA-P. HERRERA;RR;1,100.00;;
PAGHANAPIN;ZABALA-P. HERRERA;RR;1,000.00;;
R. MABAGOS;ZABALA-P. HERRERA;RR;1,000.00;;
WAGAS;ZABALA-P. HERRERA;RR;1,000.00;;
ZABALA;WAGAS-KASIPAGAN;RR;1,100.00;;
BARANGAY:;BARANGAY  32   ZONE  2;;;;
HINAHON;ZARAGOSA-ZABALA;RR;1,000.00;;
KASIPAGAN;ZARAGOSA-ZABALA;RR;1,000.00;;
MASIKAP;ZARAGOSA-ZABALA;RR;1,000.00;;
MATIISIN;ZARAGOSA-ZABALA;RR;1,000.00;;
MATIMTIMAN;ZARAGOSA-ZABALA;RR;1,000.00;;
P RADA;ZARAGOSA-ZABALA;RR;1,000.00;;
WAGAS;ZARAGOSA-ZABALA;RR;1,000.00;;
ZABALA;KASIPAGAN-WAGAS;RR;1,100.00;;
ZARAGOSA;WAGAS-KASIPAGAN;CR;4,000.00;;
BARANGAY:;BARANGAY  33 ZONE  3;;;ZONE 3 IS BOUNDED BY:     NORTH  -  MORIONES (FR. MARCOS ROAD TO ASUNCION)     SOUTH  -  LAKANDULA (FR. ASUNCION TO MARCOS ROAD)     WEST   -  ASUNCION (FR. LAKANDULA TO MORIONES)     EAST   -  MARCOS ROAD (FR. MORIONES TO LAKANDULA);
DALISAY;WAGAS-LUALHATI;RR;1,000.00;;
IBARRA;LUALHATI-WAGAS;RR;1,000.00;;
LAKANDULA;KAGITINGAN-LUALHATI;CR;2,500.00;;
LAKANDULA;KAGITINGAN-LUALHATI;RR;1,200.00;;
LUALHATI;LAKANDULA-DALISAY;RR;1,000.00;;
SANDICO;LUALHATI-WAGAS;RR;1,000.00;;
WAGAS;LAKANDULA-DALISAY;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  34 ZONE  3;;;;
DALISAY;LAKANDULA-KAGITINGAN;RR;1,000.00;;
KAGITINGAN;LAKANDULA-DALISAY;RR;1,000.00;;
LAKANDULA;KAGITINGAN-LUALHATI;CR;2,500.00;;
