RDO:;RDO NO. 49 - NORTH MAKATI;;;Formerly (RDO. 32 Makati East);
P. BURGOS;;CR;10,000.00;;
P. URDANETA;;RR;3,500.00;;
P. VICTOR;;RR;3,500.00;;
PALAWAN;;RR;3,500.00;;
R. MAGSAYSAY;EDSA;RR;3,500.00;;
RAON;;RR;3,500.00;;
REPOSO;;RR;3,500.00;;
RETIRO;;RR;3,500.00;;
SAMPAGUITA;;RR;3,500.00;;
SAN NICOLAS;;RR;3,500.00;;
SGT F YABUT;EDSA;RR;3,500.00;;
SANTA RITA;;RR;3,500.00;;
TRINIDAD;;RR;3,500.00;;
VISAYAS;EDSA;RR;3,500.00;;
YABUT CIRCLE;EDSA;RR;3,500.00;;
YABUT CIRCLE;EDSA;APD;0.00;N-NW - Dapitan Street      E-SE -  Masilang, Mercedes & Visayas, with Mercedes                  connecting Masilang       W-SW - Jacinto, Mercedes and Sgt. Yabut, with Mercedes                     connecting Jacinto;
STATE CONDOMINIUM;;RC;12,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES,      INDUSTRIAL & COMMERCIAL     BUILDINGS;;RC/CC;12,000.00;;
BARANGAY:;GUADALUPE VIEJO;;;;
ADALLA;;RR;3,500.00;;
AMAPOLA;;RR;3,500.00;;
ANTIPOLO;J. P. RIZAL;RR;3,500.00;;
AZUCENA;EDSA;RR;3,500.00;;
BERNARDINA;;RR;3,500.00;;
BERNARDINO;;RR;3,500.00;;
BERNARDO;;RR;3,500.00;;
CAMIA;;RR;3,500.00;;
CARBALLO;;RR;3,500.00;;
CHAMPACA;;RR;3,500.00;;
CORONADO;;RR;3,500.00;;
EDSA;;CR;20,000.00;;
ESTRELLA;;RR;3,500.00;;
GONZALES;;RR;3,500.00;;
GUMAMELA;;RR;3,500.00;;
ILANG-ILANG;;RR;3,500.00;;
J. P. RIZAL;;RR;3,500.00;;
JASMIN;J. P. RIZAL;RR;3,500.00;;
LIRIO;;RR;3,500.00;;
MILEGUAS;J. P. RIZAL;RR;3,500.00;;
PROGRESO I  II;;RR;3,500.00;;
RAFAEL PALMA;;RR;3,500.00;;
ROSAL;;RR;3,500.00;;
SAN BERNARDINO;;RR;3,500.00;;
TRINIDAD;;RR;3,500.00;;
ZODIAC;;RR;3,500.00;;
LIRIO APARTMENT;;RC;10,000.00;;
PALMYRA CONDOMINIUM;;RC;12,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES,     INDUSTRIAL & COMMERCIAL      BUILDINGS;;RC/CC;12,000.00;;
BARANGAY:;KASILAWAN;;;;
BENITEZ;;RR;2,300.00;;
CAGAYAN;;RR;2,300.00;;
CARIDAD;;RR;2,300.00;;
BENITO;;RR;2,300.00;;
GUIZON;J. P. RIZAL;RR;2,300.00;;
DEL PAN;;RR;2,300.00;;
P DOMINGO;;RR;2,300.00;;
F. PASCUA;;RR;2,300.00;;
FRANCISCO;;RR;2,300.00;;
H. SANTOS;J. P. RIZAL;RR;2,300.00;;
MENDOZA;J. P. RIZAL;RR;2,300.00;;
PAGKAKAISA;J. P. RIZAL;RR;2,300.00;;
RODRIGUEZ;;RR;2,300.00;;
ESPERANZA;;RR;2,300.00;;
EVANGELISTA;;RR;2,300.00;;
NUNEZ;;RR;2,300.00;;
C-8;;RR;2,300.00;;
C-9;;RR;2,300.00;;
C-10;;RR;2,300.00;;
ALL CONDOMINIUMS, TOWNHOUSES,     INDUSTRIAL & COMMERCIAL      BUILDINGS;;RC/CC;12,000.00;;
BARANGAY:;LA PAZ;;;;
A. SORIANO;;RR;3,250.00;;
ABC;;RR;3,250.00;;
ABCD;;RR;3,250.00;;
ARCHIMEDES;;RR;3,250.00;;
BALAGTAS;Z. ROXAS;RR;3,250.00;;
CABANELA;;RR;3,250.00;;
CATON;;RR;3,250.00;;
CERVERA;;RR;3,250.00;;
DAVILA;;RR;3,250.00;;
DUMAS;;RR;3,250.00;;
EUREKA;;RR;3,250.00;;
FLEUR DE LIZ;;RR;3,250.00;;
GODET;;RR;3,250.00;;
GUAM;;RR;3,250.00;;
HAWAII;;RR;3,250.00;;
MASCARDO;;RR;3,250.00;;
METROPOLITAN AVENUE;;RR;3,250.00;;
MOLA;;RR;3,250.00;;
ONYX;;RR;3,250.00;;
PASONG TIRAD;;RR;3,250.00;;
PASONG TIRAD;;APD;0.00;"Pasong Tirad:      N-NE - J P Rizal (from Delpan to Pasong Tirad);  P Tirad (from J P Rizal to Imelda Avenue)  Imelda Avenue (from P Tirad to Pasong Tamo)  SE-E - Pasong Tamo (from Imelda Ave. to Sulchuaga St.) Sulchuaga St. (from P. Tirad to P. Rivera St.) SW   - Primo Rivera St. (from Sulchuaga to Aranda Sts) Aranda St. (from Primo de Rivera to Ponte St.) Ponte St. (from Aranda St. to Delpan St.) NW   - Del Pan Street (Manila-Makati Boundary).";
PASONG TAMO;;CR;9,000.00;;
PONTE;;RR;3,250.00;;
PRIMO DE RIVERA;Z. ROXAS;RR;3,250.00;;
PRIMO DE RIVERA;;APD;0.00;Primo de Rivera:   N - Davila Street                                           E - Primo de Rivera Street                                           S - Mola, Guam and Onyx Streets                                           W - Sunrise Street;
SAMPAGUITA;;RR;3,250.00;;
SUNRISE;Z. ROXAS;RR;3,250.00;;
VITO CRUZ EXTENSION;;CR;9,000.00;;
YAGUE;;RR;3,250.00;;
Z. ROXAS;;RR;3,250.00;;
Z. ROXAS;;CR;9,000.00;;
DANARRA CONDOMINIUM;LA PAZ;RC;12,000.00;;
TITAN CONDOMINIUM I;;RC;12,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES,     INDUSTRIAL & COMMERCIAL      BUILDINGS;;RC/CC;12,000.00;;
BARANGAY:;OLIMPIA;;;;
ABEJA;;RR;3,500.00;;
ANSELMO;;RR;3,500.00;;
A P REYES;;RR;3,500.00;;
BALER;;RR;3,500.00;;
BANAHAW;J.P. RIZAL;RR;3,500.00;;
BARASAOIN;;RR;3,500.00;;
BARON;;RR;3,500.00;;
BIAK NA BATO;;RR;3,500.00;;
BINAKOD;;RR;3,500.00;;
CALASAN;;RR;3,500.00;;
COLMENA;;RR;3,500.00;;
CONSTANCIA;;RR;3,500.00;;
CORDILLERA;;RR;3,500.00;;
ECONOMIA;;RR;3,500.00;;
EMIN;;RR;3,500.00;;
FORTUNA;;RR;3,500.00;;
HERADURA;;RR;3,500.00;;
HIPODROMO;J. P. RIZAL;RR;3,500.00;;
HIWAGA;;RR;3,500.00;;
HONRADEZ;J. P. RIZAL;RR;3,500.00;;
IMELDA AVENUE;J. P. RIZAL;RR;3,500.00;;
IMELDA AVE (KALAYAAN AVE);;CR;10,000.00;;
IMUS;KALAYAAN AVENUE;RR;3,500.00;;
INFANTA;;RR;3,500.00;;
J B ROXAS;KALAYAAN AVENUE;RR;3,500.00;;
J P RIZAL;;CR;10,000.00;;
KAKARONG;KALAYAAN AVENUE;RR;3,500.00;;
KAWIT;KALAYAAN AVENUE;RR;3,500.00;;
LIWAYWAY;;RR;3,500.00;;
MAKILING;KALAYAAN AVENUE;RR;3,500.00;;
MALOLOS;;RR;3,500.00;;
MAYON;;RR;3,500.00;;
NOVALICHES;J P RIZAL;RR;3,500.00;;
OBRERO;;RR;3,500.00;;
PASONG TAMO;;RR;3,500.00;;
PASONG TAMO;;CR;8,000.00;;
PATEROS;;RR;3,500.00;;
PILILIA;J P RIZAL;RR;3,500.00;;
SACRAMENTO;;RR;3,500.00;;
SAMAT;J P RIZAL;RR;3,500.00;;
SAMPAGUITA;;RR;3,500.00;;
SAN ANSELMO;;RR;3,500.00;;
SAN BERNARDINO;;RR;3,500.00;;
SAN DIEGO;J. P. RIZAL;RR;3,500.00;;
SAN FRANCISCO;;RR;3,500.00;;
SAN JACINTO;;RR;3,500.00;;
SAN JOAQUIN;;RR;3,500.00;;
SAN JOSE;;RR;3,500.00;;
SAN MATEO;;RR;3,500.00;;
SAN MAXIMO;;RR;3,500.00;;
SAN RAFAEL;J. P. RIZAL;RR;3,500.00;;
SOUTH AVENUE;J. P. RIZAL;RR;3,500.00;;
SANTA BARBARA;;RR;3,500.00;;
SANTA LUCIA;;RR;3,500.00;;
SULTANA;;RR;3,500.00;;
TALIBA;;RR;3,500.00;;
TRABAJO;J P RIZAL;RR;3,500.00;;
YUNGUE;;RR;3,500.00;;
ZAPOTE;KALAYAAN AVENUE;RR;3,500.00;;
ZAPOTE;KALAYAAN AVENUE;APD;0.00;"NE - Francisco St., Sacramento (from Francisco to                                San Jacinto); San Jacinto (from Sacramento to J B Roxas) J B Roxas (from San Jacinto to San Bernardino); San Bernardino (from J B Roxas to Legaspi); Legaspi (from San Bernardino to D. Oliman); D. Oliman (from Legaspi to Iriga); Iriga (from D. Oliman to Baler). SE - Baler (from Iriga to Pililia) ;  Pililla (from Baler to Imelda), SW - Imelda Street NW - South Avenue.";
ALL CONDOMINIUMS, TOWNHOUSES,     INDUSTRIAL & COMMERCIAL      BUILDINGS;;RC/CC;12,000.00;;
BARANGAY:;OBRERO;;;;
ABEJA;;RR;3,500.00;;
COLMENAR;;RR;3,500.00;;
CONSTANCIA;;RR;3,500.00;;
FORTUNA;;RR;3,500.00;;
HORMIGA;;RR;3,500.00;;
HONRADEZ;;RR;3,500.00;;
J  B ROXAS;;RR;3,500.00;;
OBRERO;;RR;3,500.00;;
PATEROS;;RR;3,500.00;;
SULTANA;;RR;3,500.00;;
TRABAJO;;RR;3,500.00;;
YUNGUE;;RR;3,500.00;;
ALL CONDOMINIUMS, TOWNHOUSES,     INDUSTRIAL & COMMERCIAL      BUILDINGS;;RC/CC;12,000.00;;
BARANGAY:;PINAGKAISAHAN;;;;
AGUTAYA;;RR;3,750.00;;
BALAGBAG;EDSA;RR;3,750.00;;
BELLEZA;;RR;3,750.00;;
CANIGARAN;;RR;3,750.00;;
CORPUZ;;RR;3,750.00;;
CUYO;EDSA;RR;3,750.00;;
DANLIG;;RR;3,750.00;;
ENSUENO;EDSA;RR;3,750.00;;
ENZO;;RR;3,750.00;;
ERAN;;RR;3,750.00;;
ESCUELA;;RR;3,750.00;;
GANTUNG;;RR;3,750.00;;
GARCIA;;RR;3,750.00;;
GOV NOBLE;;RR;3,750.00;;
HARVARD;EDSA;RR;3,750.00;;
HONDA;EDSA;RR;3,750.00;;
HONDA;;CR;10,000.00;;
JERVOIS;;RR;3,750.00;;
