RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
ESTERO DELA REINA;C M RECTO R MATANDA;RR;1,800.00;;
JUAN LUNA;R MATANDA C M RECTO;CR;10,100.00;;
BARANGAY:;BARANGAY  11 ZONE  2;;;ZONE 2 IS BOUNDED BY:     NORTH  -  LAKANDULA (FR. MARCOS ROAD TO ASUNCION)     SOUTH  -  C M RECTO (FR. ASUNCION TO MARCOS ROAD)     WEST   -  ASUNCION (FR. LAKANDULA TO C M RECTO)     EAST   -  MARCOS ROAD (FR. C M RECTO TO LAKANDULA);
ASUNCION;CM RECTO SAN ANTONIO;CR;5,200.00;;
BO SN ANTONIO;ASUNCION WAGAS EXT;RR;1,200.00;;
CM RECTO;DEL PAN TAHIMIK;CR;6,800.00;;
WAGAS EXTENSION;TAHIMIK S ANTONIO;RR;1,200.00;;
BARANGAY:;BARANGAY  12 ZONE  2;;;;
C M RECTO;DEL PAN TAHIMIK;CR;7,750.00;;
DEL PAN;CM RECTO WAGAS EXT;CR;3,250.00;;
TAHIMIK;CM RECTO WAGAS EXT;RR;1,200.00;;
WAGAS EXT;DEL PAN TAHIMIK;RR;1,200.00;;
BARANGAY:;BARANGAY  13 ZONE  2;;;;
ASUNCION;SN ANTONIO ZARAGOSA;CR;5,200.00;;
SAN ANTONIO;ASUNCION STO NINO;RR;1,200.00;;
SANTO NINO;SAN ANOTNIO ZARAGOSA;RR;1,350.00;;
ZARAGOSA EXT;ASUNCION STO NINO;CR;5,200.00;;
ZARAGOSA EXTENSION;ASUNCION STO NINO;RR;2,400.00;;
BARANGAY:;BARANGAY  14 ZONE  2;;;;
ASUNCION;BO SAN ANTONIO;CR;5,200.00;;
BO SN ANTONIO;ASUNCION WAGAS EXT;CR;2,600.00;;
BO SN ANTONIO;ASUNCION WAGAS EXT;RR;1,200.00;;
WAGAS EXTENSION;BO SAN ANTONIO;RR;1,200.00;;
BARANGAY:;BARANGAY  15 ZONE  2;;;;
DEL PAN EXT;ZARAGOSA EXT;CR;5,750.00;;
DEL PAN EXT;ZARAGOSA EXT;RR;1,200.00;;
SANTO NINO;SAN ANTONIO ZARAGOSA;RR;1,350.00;;
ZARAGOSA EXT;STO NINO DEL PAN EXT;CR;5,200.00;;
ZARAGOSA EXT;STO NINO DEL PAN EXT;RR;2,200.00;;
BARANGAY:;BARANGAY  16 ZONE  2;;;;
DEL PAN EXTENSION;WAGAS EXT KAGITINGAN;CR;5,200.00;;
DEL PAN EXTENSION;WAGAS EXT KAGITINGAN;RR;1,200.00;;
KAGITINGAN;DEL PAN EXT WAGAS;RR;1,200.00;;
BARANGAY:;BARANGAY  17 ZONE  2;;;;
DEL PAN  EXT;ZARAGOZA EXT;CR;5,200.00;;
DEL PAN  EXT;ZARAGOZA EXT;RR;1,650.00;;
ZARAGOZA EXT;LUALHATI DEL PAN EXT;CR;5,200.00;;
ZARAGOZA EXT;LUALHATI DEL PAN EXT;RR;1,800.00;;
ALL OTHER STREETS;;CR;5,200.00;;
ALL OTHER STREETS;;RR;1,800.00;;
BARANGAY:;BARANGAY  18 ZONE  2;;;;
DEL PAN EXT;DEL PAN BRIDGE;CR;3,250.00;;
KAGITINGAN;BARRIO SLIP ZERO;RR;1,450.00;;
SLIP ZERO;NEAR MICT;RR;1,350.00;;
BARANGAY:;BARANGAY  19 ZONE  2;;;;
KAGITINGAN;ZARAGOZA SLIP ZERO;RR;1,200.00;;
ZARAGOZA EXT;KAGITINGAN DEL PAN;CR;5,200.00;;
ZARAGOZA EXT;KAGITINGAN DEL PAN;RR;2,200.00;;
BARANGAY:;BARANGAY  20 ZONE  2;;;;
KAGITINGAN;ZARAGOZA SLIP ZERO;RR;1,200.00;;
MARCOS ROAD;ZARAGOZA BONIFACIO V;CR;5,200.00;;
ZARAGOZA EXT;KAGITINGAN MARCOS RD;CR;5,200.00;;
ZARAGOZA EXT;KAGITINGAN MARCOS RD;RR;2,100.00;;
BARANGAY:;BARANGAY  25 ZONE  2;;;;
ASUNCION;ZARAGOZA ZABALA;CR;5,200.00;;
CAMBA;ASUNCION WAGAS;RR;1,300.00;;
HINAHON;ZARAGOZA ZABALA;RR;1,200.00;;
MASIKAP;ZARAGOZA ZABALA;RR;1,200.00;;
MATIISIN;ZARAGOZA ZABALA;RR;1,200.00;;
MATIMTIMAN;ZARAGOZA ZABALA;RR;1,200.00;;
PADRE RADA;ZARAGOZA ZABALA;CR;4,000.00;;
WAGAS;ZARAGOZA ZABALA;RR;1,200.00;;
ZABALA;ASUNCION WAGAS;RR;1,350.00;;
ZARAGOZA EXT;ASUNCION WAGAS;CR;5,200.00;;
ZARAGOZA EXT;ASUNCION WAGAS;RR;2,100.00;;
BARANGAY:;BARANGAY  26 ZONE  2;;;;
ASUNCION;ZABALA P HERRERA;CR;5,200.00;;
BALAGTAS;ZABALA P HERRERA;RR;1,200.00;;
HERRERA;ASUNCION WAGAS;CR;4,100.00;;
MARIA PAYO;ZABALA P HERRERA;RR;1,500.00;;
PAGHANAPIN;ZABALA P HERRERA;RR;1,200.00;;
R MABAGOS;ZABALA P HERRERA;RR;1,200.00;;
WAGAS;ZABALA P HERRERA;RR;1,200.00;;
ZABALA;ASUNCION WAGAS;RR;1,350.00;;
BARANGAY:;BARANGAY  28 ZONE  2;;;;
BALAGTAS;ZARAGOZA P HERRERA;RR;1,200.00;;
HERRERA;KASIPAGAN KAGITINGAN;RR;1,200.00;;
HINAHON;ZARAGOZA P HERRERA;RR;1,200.00;;
KAGITINGAN;ZARAGOZA P HERRERA;RR;1,200.00;;
MARIA PAYO;ZARAGOZA P HERRERA;RR;1,300.00;;
MASIKAP;ZARAGOZA P HERRERA;RR;1,200.00;;
MATIISIN;ZARAGOZA P HERRERA;RR;1,200.00;;
MATIMTIMAN;ZARAGOZA P HERRERA;RR;1,200.00;;
PADRE RADA;ZARAGOZA P HERRERA;RR;1,200.00;;
PAGHANAPIN;ZARAGOZA P HERRERA;RR;1,200.00;;
R MABAGOS;ZARAGOZA P HERRERA;RR;1,200.00;;
ZABALA;ZARAGOZA P HERRERA;RR;1,350.00;;
ZARAGOZA;KASIPAGAN KAGITINGAN;CR;5,200.00;;
ZARAGOZA;KASIPAGAN KAGITINGAN;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  29 ZONE  2;;;;
BALAGTAS;ZARAGOZA P HERRERA;RR;1,200.00;;
HERRERA;TAGUMPAY KAGITINGAN;RR;1,200.00;;
HINAHON;ZARAGOZA P HERRERA;RR;1,200.00;;
MARIA PAYO;ZARAGOZA P HERRERA;RR;1,500.00;;
MASIKAP;ZARAGOZA P HERRERA;RR;1,200.00;;
MATIISIN;ZARAGOZA P HERRERA;RR;1,200.00;;
MATIMTIMAN;ZARAGOZA P HERRERA;RR;1,200.00;;
PADRE RADA;ZARAGOSA P HERRERA;RR;1,200.00;;
PAGHANAPIN;ZARAGOSA P HERRERA;RR;1,200.00;;
