RDO:;RDO NO. 41    - MANDALUYONG CITY;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
ALL OTHER STREETS;EAST OF EDSA;CR;8,000.00;;
BARANGAY:;BARANGKA ITAAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ALCHAN;;RR;2,300.00;;
DANSALAN;BONI AVE;RR;4,000.00;;
DIDICAS;;RR;2,300.00;;
KAPOK;;RR;2,300.00;;
LIMAY;;RR;2,300.00;;
MAKATURING;;RR;2,500.00;;
MALAPANTAO;;RR;2,400.00;;
MALIBATO;;RR;1,900.00;;
NATIB;;RR;1,900.00;;
OLIVEROS;;RR;1,900.00;;
PALALI;;RR;1,900.00;;
PANTALEON;;RR;2,500.00;;
SACREPANTE;;RR;1,800.00;;
TRID;;RR;1,900.00;;
WAYAN;;RR;1,900.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BUAYANG BATO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
EDSA;;CR;10,000.00;;
PIONEER;EDSA;I;5,000.00;;
RELIANCE;EDSA;I;4,000.00;;
SHERIDAN;EDSA;I;4,000.00;;
ALL OTHER STREETS;;I;4,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
ALL OTHER STREETS;;I;4,000.00;;
BARANGAY:;BUROL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
HARAPIN ANG BUKAS;DON BOSCO TECH;RR;2,500.00;;
;;CR;3,000.00;;
LUNA;DON BOSCO TECH;RR;2,500.00;;
LUNA;DON BOSCO TECH;CR;3,000.00;;
REYES A T;DON BOSCO TECH;RR;2,500.00;;
ALL OTHER STREETS;;RR;2,500.00;;
ALL OTHER STREETS;;;3,000.00;;
BARANGAY:;DAANG BAKAL;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
F BERNARDO  CADORNA;;RR;1,800.00;;
GEN KALENTONG;MRR-ROMUALDEZ;CR;6,000.00;;
