JUAN LUNA;C M RECTOR-P HERRERA;CR;45,000.00;;
P HERRERA;JUAN LUNA-ILAYA;CR;22,500.00;;
PADRE RADA;ILAYA-JUAN LUNA;CR;37,500.00;;
RAJAH MATANDA;ILAYA-JUAN LUNA;CR;22,500.00;;
BARANGAY:;BARANGAY  8 ZONE  1;;;;
ESTERO DELA REINA;MORIONES-L CHACON;RR;9,000.00;;
JUAN LUNA;L CHACON-MORIONES;CR;37,500.00;;
MORGA;JUAN LUNA-P HERRERA;RR;10,500.00;;
MORIONES;J LUNA-E DELA REINA;CR;22,500.00;;
BARANGAY:;BARANGAY  9 ZONE  1;;;;
ESTERO DELA REINA;L CHACON-RAJAH MATANDA;RR;9,000.00;;
JUAN LUNA;P HERRERA-R MATANDA;CR;45,000.00;;
MORGA;P HERRERA-JUAN LUNA;RR;10,500.00;;
P HERRERA;J LUNA-E DELA REINA;CR;22,500.00;;
BARANGAY:;BARANGAY  10 ZONE  1;;;;
C M RECTO;J LUNA-E DELA REINA;CR;60,000.00;;
ESTERO DELA REINA;C M RECTO-R MATANDA;RR;9,000.00;;
JUAN LUNA;R MATANDA-C M RECTO;CR;45,000.00;;
BARANGAY:;BARANGAY  11 ZONE  2;;;ZONE 2 IS BOUNDED BY:     NORTH  -  LAKANDULA (FR. MARCOS ROAD TO ASUNCION)     SOUTH  -  C M RECTO (FR. ASUNCION TO MARCOS ROAD)     WEST    -  ASUNCION (FR. LAKANDULA TO C M RECTO)     EAST     -  MARCOS ROAD (FR. C M RECTO TO LAKANDULA);
ASUNCION;CM RECTO-SAN ANTONIO;CR;22,500.00;;
BO SN ANTONIO;ASUNCION-WAGAS EXT;RR;2,250.00;;
CM RECTO;DEL PAN-TAHIMIK;CR;30,000.00;;
WAGAS EXTENSION;TAHIMIK-SN ANTONIO;RR;2,250.00;;
BARANGAY:;BARANGAY  12 ZONE  2;;;;
C M RECTO;DEL PAN-TAHIMIK;CR;30,000.00;;
DEL PAN;CM RECTO -WAGAS EXT;CR;15,000.00;;
TAHIMIK;CM RECTO -WAGAS EXT;RR;2,250.00;;
WAGAS EXT;DEL PAN-TAHIMIK;RR;2,250.00;;
BARANGAY:;BARANGAY  13 ZONE  2;;;;
ASUNCION;SN ANTONIO-ZARAGOSA;CR;15,000.00;;
SAN ANTONIO;ASUNCION-STO NINO;RR;2,250.00;;
SANTO NINO;SAN ANOTNIO-ZARAGOSA;RR;2,550.00;;
ZARAGOSA EXT;ASUNCION-STO NINO;CR;15,000.00;;
ZARAGOSA EXTENSION;ASUNCION-STO NINO;RR;9,000.00;;
BARANGAY:;BARANGAY  14 ZONE  2;;;;
ASUNCION;BO SAN ANTONIO;CR;15,000.00;;
BO SN ANTONIO;ASUNCION-WAGAS EXT;CR;10,500.00;;
BO SN ANTONIO;ASUNCION-WAGAS EXT;RR;2,250.00;;
WAGAS EXTENSION;BO SAN ANTONIO;RR;2,250.00;;
BARANGAY:;BARANGAY  15 ZONE  2;;;;
DEL PAN EXT;ZARAGOSA EXT;CR;15,000.00;;
DEL PAN EXT;ZARAGOSA EXT;RR;2,250.00;;
SANTO NINO;SAN ANTONIO-ZARAGOSA;RR;2,550.00;;
ZARAGOSA EXT;STO NINO-DEL PAN EXT;CR;15,000.00;;
ZARAGOSA EXT;STO NINO-DEL PAN EXT;RR;9,000.00;;
BARANGAY:;BARANGAY  16 ZONE  2;;;;
DEL PAN EXTENSION;WAGAS EXT-KAGITINGAN;CR;15,000.00;;
DEL PAN EXTENSION;WAGAS EXT-KAGITINGAN;RR;2,250.00;;
KAGITINGAN;DEL PAN EXT-WAGAS;RR;2,250.00;;
BARANGAY:;BARANGAY  17 ZONE  2;;;;
DEL PAN  EXT;ZARAGOSA EXT;CR;15,000.00;;
DEL PAN  EXT;ZARAGOSA EXT;RR;3,000.00;;
ZARAGOSA EXT;LUALHATI-DEL PAN EXT;CR;15,000.00;;
ZARAGOSA EXT;LUALHATI-DEL PAN EXT;RR;4,500.00;;
ALL OTHER STREETS;;CR;13,000.00;;
ALL OTHER STREETS;;RR;3,900.00;;
BARANGAY:;BARANGAY  18 ZONE  2;;;;
