CABANCALAN CANDUMAN;ABELLANA PAGSABUNGAN;RR;400.00;;
CABANCALAN CANDUMAN;ABELLANA PAGSABUNGAN;I;400.00;;
CABANCALAN CANDUMAN;ABELLANA PAGSABUNGAN;GP;400.00;;
ALL OTHER STREETS;INTERIOR LOTS;GP;400.00;;
BARANGAY:;CASILI;;;;
CASILI KAPASANAN;;GP;350.00;;
TAWASON CASILI RD;;GP;350.00;;
CUBACUB XASILI RD;;GP;350.00;;
SITIO CASILI;;GP;350.00;;
BARANGAY:;CASUNTINGAN;;;;
M L QUEZON ST GREENHILLS SUBD;MAGUIKAY CABANCALAN;RR;900.00;;
M L QUEZON ST GREENHILLS SUBD;MAGUIKAY CABANCALAN;RR;550.00;;
TINGUB MAGUIKAY;QUEZON BUTUANON RIVER;RR;450.00;;
TINGUB MAGUIKAY;QUEZON BUTUANON RIVER;I;450.00;;
ALL OTHER STREETS;QUEZON BUTUANON RIVER;I;450.00;;
BARANGAY:;CENTRO;;;;
B CENIZA ST;LOPEZ JAENA ST;CR;3,000.00;;
A DEL ROSARIO AVE;CENIZA RIZAL ST;CR;2,500.00;;
RIZAL ST;ZAMORA SANCHEZ ST;CR;2,500.00;;
RIZAL ST;ZAMORA SANCHEZ ST;RR;2,500.00;;
MABINI ST;PLARIDEL RIZAL ST;CR;2,500.00;;
MABINI ST;PLARIDEL RIZAL ST;RR;2,500.00;;
RIZAL EXT;SEAWALL SANCHEZ ST;CR;3,000.00;;
RIZAL EXT;SEAWALL SANCHEZ ST;RR;3,000.00;;
GOMEZ ST;CENIZA BURGOS ST;CR;3,000.00;;
GOMEZ ST;CENIZA BURGOS ST;RR;3,000.00;;
BURGOS ST;SANCHEZ END;CR;2,500.00;;
BURGOS ST;SANCHEZ END;RR;2,500.00;;
PLARIDEL ST;SEAWALL SAN ANTONIO;CR;2,500.00;;
PLARIDEL ST;SEAWALL SAN ANTONIO;RR;2,500.00;;
ZAMORA ST;CENIZA BURGOS STS;CR;2,500.00;;
ZAMORA ST;CENIZA BURGOS STS;RR;2,500.00;;
A SUSON ST;ZAMORA END;CR;2,500.00;;
A SUSON ST;ZAMORA END;RR;2,500.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;2,500.00;;
BARANGAY:;CUBACUB;;;;
CUBACUB CASILI RD;TO ABELLANA ST;GP;350.00;;
BAAS JAGOBIAO RD;ABELLANA ST;RR;350.00;;
BAAS JAGOBIAO RD;ABELLANA ST;GP;350.00;;
ALL OTHER STREETS;;GP;350.00;;
ALL OTHER STREETS;;RR;350.00;;
BARANGAY:;GUIZO;;;;
A DEL ROSARIO AVE;HIGHWAY A CORTES AVE;I;1,500.00;;
DEL PILAR ST;A ROSARIO A CORTES;RR;500.00;;
DEL PILAR ST;A ROSARIO A CORTES;I;500.00;;
URDANETA ST;A DEL ROSARIO END;CR;1,500.00;;
URDANETA ST;A DEL ROSARIO END;RR;500.00;;
MANTUYONG;GEN LUNA END;RR;500.00;;
MANTUYONG;GEN LUNA END;I;500.00;;
GEN LUNA;DEL PILAR BOUNDARY;RR;500.00;;
GEN LUNA;DEL PILAR BOUNDARY;I;500.00;;
A CORTES AVE;CEBU NORTH BOUNDARY;CR;1,500.00;;
CEBU NORTH RD;A CORTES MAGALLANES;CR;1,500.00;;
ESPINA ST;SEAWALL DEL ROSARIO;RR;500.00;;
A S FORTUNA ST;SEAWALL DEL ROSARIO;RR;500.00;;
MAGALLANES;DEL ROSARIO CEBU NORTH;CR;1,500.00;;
ALL OTHER STREETS;;CR;1,500.00;;
ALL OTHER STREETS;;I;500.00;;
BARANGAY:;IBABAO;;;;
RIZAL STREET;GEN LUNA CEBU NORTH;CR;1,500.00;;
RIZAL STREET;GEN LUNA CEBU NORTH;RR;1,500.00;;
CEBU NORTH ROAD;A CORTES BUTUANON RD;CR;1,500.00;;
A CORTES AVE;CEBU NORTH BOUNDARY;CR;1,500.00;;
A CORTES AVE;CEBU NORTH BOUNDARY;RR;1,500.00;;
SANCHEZ;RIZAL ST;CR;500.00;;
SANCHEZ;RIZAL ST;RR;500.00;;
LIBERTAD;CEBU NORTH BOUNDARY;CR;1,000.00;;
LIBERTAD;CEBU NORTH BOUNDARY;RR;500.00;;
SITIO ESTANCIA;;CR;1,000.00;;
SITIO ESTANCIA;;RR;1,000.00;;
ALL OTHER STREETS;;CR;1,000.00;;
ALL OTHER STREETS;;RR;500.00;;
BARANGAY:;JAGOBIAO;;;;
