RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
C N MATIBAY;ILAYA-ALBUQUERQUE;CR;39,375.00;;
ILAYA;P HERRERA-C M RECTO;CR;68,250.00;;
JUAN LUNA;C M RECTO-P HERRERA;CR;81,900.00;;
P HERRERA;JUAN LUNA-ILAYA;CR;39,375.00;;
PADRE RADA;ILAYA-JUAN LUNA;CR;68,250.00;;
RAJAH MATANDA;ILAYA-JUAN LUNA;CR;39,375.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;15,120.00;;
BARANGAY:;BARANGAY  8 ZONE  1;;;;
ESTERO DELA REINA;MORIONES-L CHACON;RR;15,120.00;;
JUAN LUNA;L CHACON-MORIONES;CR;68,250.00;;
MORGA;JUAN LUNA-P HERRERA;RR;17,640.00;;
MORIONES;J LUNA-E DELA REINA;CR;39,375.00;;
ALL OTHER STREETS;;CR;39,375.00;;
ALL OTHER STREETS;;RR;15,120.00;;
BARANGAY:;BARANGAY  9 ZONE  1;;;;
ESTERO DELA REINA;L CHACON-RAJAH MATANDA;RR;15,120.00;;
JUAN LUNA;P HERRERA-R MATANDA;CR;81,900.00;;
MORGA;P HERRERA-JUAN LUNA;RR;17,640.00;;
P HERRERA;J LUNA-E DELA REINA;CR;39,375.00;;
ALL OTHER STREETS;;CR;39,375.00;;
ALL OTHER STREETS;;RR;15,120.00;;
BARANGAY:;BARANGAY  10 ZONE  1;;;;
C M RECTO;J LUNA-E DELA REINA;CR;109,200.00;;
ESTERO DELA REINA;C M RECTO-R MATANDA;RR;15,120.00;;
JUAN LUNA;R MATANDA-C M RECTO;CR;81,900.00;;
ALL OTHER STREETS;;CR;81,900.00;;
ALL OTHER STREETS;;RR;15,120.00;;
BARANGAY:;BARANGAY  11 ZONE  2;;;"ZONE 2 IS BOUNDED BY:       -  LAKANDULA (FROM MARCOS ROAD TO ASUNCION) ON THE NORTH;       -  CLARO M RECTO (FROM ASUNCION TO MARCOS ROAD) ON THE SOUTH;       -  ASUNCION (FROM LAKANDULA TO CLARO M RECTO) ON THE EAST; AND       -  MARCOS ROAD (FROM CLARO M RECTO TO LAKANDULA) ON THE WEST";
ASUNCION;CM RECTO-SAN ANTONIO;CR;39,375.00;;
BO SN ANTONIO;ASUNCION-WAGAS EXT;RR;3,780.00;;
CM RECTO;DEL PAN-TAHIMIK;CR;54,600.00;;
DELPAN;P. ABAD SANTOS - TAHIMIK;RR;3,780.00;;
P. ABAD SANTOS;DELPAN-STO. NIÑO;RR;3,780.00;;
SAN GREGORIO (ALLEY 1);DELPAN-STO. NIÑO;RR;3,780.00;;
SANTO NIÑO;TAHIMIK-P. ABAD SANTOS;RR;3,780.00;;
TAHIMIK ST.;DELPAN-STO. NIÑO;RR;3,780.00;;
WAGAS EXTENSION;TAHIMIK-SAN ANTONIO;RR;3,780.00;;
ALL OTHER STREETS;;CR;39,375.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  12 ZONE  2;;;;
C M RECTO;DEL PAN-TAHIMIK;CR;54,600.00;;
DEL PAN;CM RECTO -WAGAS EXT;CR;27,300.00;;
TAHIMIK;CM RECTO -WAGAS EXT;RR;3,780.00;;
TERESITA (ALLEY);;RR;3,780.00;;
WAGAS EXT;DEL PAN-TAHIMIK;RR;3,780.00;;
ALL OTHER STREETS;;CR;27,300.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  13 ZONE  2;;;;
ASUNCION;SN ANTONIO-ZARAGOSA;CR;26,250.00;;
SAN ANTONIO;ASUNCION-STO NINO;RR;3,780.00;;
SIS. CONCEPCION;ROAD LOT;RR;3,780.00;;
ST. MARY;ZARAGOZA-ST. PETER;RR;3,780.00;;
ST. PETER;ROAD LOT;RR;3,780.00;;
SANTO NINO;SAN ANTONIO-ZARAGOSA;RR;4,340.00;;
ZARAGOSA EXT;ASUNCION-STO NINO;CR;26,250.00;;
ZARAGOSA EXT;ASUNCION-STO NINO;RR;15,120.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  14 ZONE  2;;;;
ASUNCION;BO SAN ANTONIO;CR;26,250.00;;
BO SAN ANTONIO;ASUNCION-WAGAS EXT;X;18,375.00;;
BO SAN ANTONIO;ASUNCION-WAGAS EXT;RR;3,780.00;;
C.M. RECTO;ST. MARY-TAHIMIK;RR;3,780.00;;
SIS. CONCEPCION;ST. PETER-C.M. RECTO;RR;3,780.00;;
ST. MARGARITA;ST. MARY-SIS. CONCEPCION;RR;3,780.00;;
ST. MARY;ST. PETER-ST. MARGARITA;RR;3,780.00;;
ST. PETER;SIS. CONCEPCION-ST. MARY;RR;3,780.00;;
TAHIMIK ST.;C.M. RECTO-SAN ANTONIO;RR;3,780.00;;
WAGAS EXTENSION;BO SAN ANTONIO;RR;3,780.00;;
ALL OTHER STREETS;;CR;18,375.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  15 ZONE  2;;;;
DEL PAN EXT;ZARAGOSA EXT;CR;27,300.00;;
DEL PAN EXT;ZARAGOSA EXT;RR;4,095.00;;
SAN ANTONIO;ZARAGOZA-ROAD LOT;RR;4,095.00;;
SANTO NINO;SAN ANTONIO-ZARAGOSA;RR;4,340.00;;
ZARAGOSA EXT;STO NINO-DEL PAN EXT;CR;26,250.00;;
ZARAGOSA EXT;STO NINO-DEL PAN EXT;RR;15,120.00;;
ZARAGOSA EXT;STO NINO-DEL PAN EXT;CR;26,250.00;;
ALL OTHER STREETS;;RR;4,095.00;;
BARANGAY:;BARANGAY  16 ZONE  2;;;;
ABAD SANTOS;DEL PAN-SAN ANTONIO;RR;3,780.00;;
DEL PAN EXTENSION;WAGAS EXT-KAGITINGAN;CR;27,300.00;;
DEL PAN EXTENSION;WAGAS EXT-KAGITINGAN;RR;4,095.00;;
KAGITINGAN;DEL PAN EXT-WAGAS;RR;3,780.00;;
SAN ANTONIO;(ROAD LOT ABAD SANTOS-ROAD LOT);RR;3,780.00;;
ALL OTHER STREETS;;CR;27,300.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  17 ZONE  2;;;;
DEL PAN  EXT;ZARAGOSA EXT;CR;27,300.00;;
DEL PAN  EXT;ZARAGOSA EXT;RR;5,460.00;;
KAGITINGAN ST.;SAN DIONISIO-SAN DAMIAN;RR;5,460.00;;
SAN DAMIAN;KAGITINGAN-SAN PATRICIO;RR;5,460.00;;
SAN DIONISIO;KAGITINGAN-SAN PATRICIO;RR;5,460.00;;
SAN FERMIN;SAN DIONISIO-SAN DAMIAN;RR;5,460.00;;
SAN GABRIEL;SAN PATRICIO-DEL PAN;RR;5,460.00;;
SAN MIGUEL;SAN FERMIN-SAN PATRICIO;RR;5,460.00;;
