RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
APD;;APD;0.00;N    -  SANTOLAN ROADE    -  FIRST WEST ST. AND WEST PROPERTY LINE OF CAMP CRAME EXTENDING TO ANNAPOLIS   W  -  THIRD WEST FROM SANTOLAN TO ROAD 1 TOWARD PROPERTY LINE OF GREENHILLS SUBDIVISION AND ROAD 2 EXTENDING   TO ANNAPOLIS  S   -    ANNAPOLIS STREET;
APD;;;;;
BARANGAY:;ERMITANO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
ALICIA;;RR;2,550.00;;
AURORA BLVD;;RR;4,130.00;;
AURORA BLVD;;CR;4,950.00;;
C CRUZ;N DOMINGO-ERMITANO C;RR;2,700.00;;
C RUIZ;N DOMINGO-ERMITANO C;RR;2,550.00;;
CRISTOBAL M;N DOMINGO-ERMITANO C;RR;2,700.00;;
DE LEON;;RR;2,200.00;;
F SANTOS;N DOMINGO-ERMITANO C;RR;2,700.00;;
GREY;;RR;2,550.00;;
MARINA;;RR;2,550.00;;
MILAGROS;N DOMINGO-ERMITANO C;RR;2,800.00;;
N DOMINGO;;RR;4,380.00;;
N DOMINGO;;CR;5,250.00;;
P GOMEZ;;RR;2,550.00;;
SORIANO A;;RR;2,550.00;;
ALL OTHER STREETS;;RR;2,550.00;;
ALL OTHER STREETS;;CR;4,600.00;;
BARANGAY:;GREENHILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
ADAMS;WILSON-ROOSEVELT;RR;9,050.00;;
ALBANY;GHILLS SHOPPING CTR.;RR;9,050.00;;
ANNAPOLIS;;RR;8,250.00;;
ANNAPOLIS;;CR;15,000.00;;
ARTHUR;EISENHOWER;RR;8,100.00;;
BACHANAN;MONTESORRI CTR;RR;8,100.00;;
CLEVELAND;WILSON JACKSON;RR;9,050.00;;
CONNECTICUT;;RR;9,050.00;;
CONNETICUT;;RR;9,050.00;;
CONNECTICUT;;CR;10,500.00;;
COOLIDGE;WILSON JEFFERSON;RR;9,050.00;;
DON MIGUEL;WILSON ST;RR;8,000.00;;
EDSA;ANNAPOLIS-CONNECTICUT;CR;9,500.00;;
EISENHOWER;MUNICIPAL CEMETERY;RR;7,550.00;;
