RDO:;RDO NO. 80 - MANDAUE CITY;;;;
SAN ANTONIO  STREET;PLARIDEL-NOC;CR;600.00;;
SAN ANTONIO  STREET;PLARIDEL-NOC;RR;300.00;;
SAN ANTONIO  STREET;PLARIDEL-NOC;I;600.00;;
ALL OTHER STREETS;;CR;600.00;;
ALL OTHER STREETS;;RR;400.00;;
ALL OTHER STREETS;;I;600.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CANDUMAN;;;;
ABELLANA STREET;CANDUMAN-PAGSABUNGAN ROAD;CR;600.00;;
ABELLANA STREET;CANDUMAN-PAGSABUNGAN ROAD;I;1,000.00;;
ABELLANA STREET;CANDUMAN-PAGSABUNGAN ROAD;GP;400.00;;
CABANCALAN-CANDUMAN;ABELLANA-PAGSABUNGAN ROAD;RR;400.00;;
CABANCALAN-CANDUMAN;ABELLANA-PAGSABUNGAN ROAD;I;600.00;;
CABANCALAN-CANDUMAN;ABELLANA-PAGSABUNGAN ROAD;GP;400.00;;
ALL OTHER STREETS;INTERIOR LOTS;GP;400.00;;
ALL OTHER STREETS;INTERIOR LOTS;RR;400.00;;
ALL OTHER STREETS;INTERIOR LOTS;I;600.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CASILI;;;;
CASILI-KAPASANAN;;GP;350.00;;
CASILI-KAPASANAN;;RR;300.00;;
CUBACUB-CASILI ROAD;;GP;350.00;;
CUBACUB-CASILI ROAD;;RR;300.00;;
SITIO CASILI;;GP;350.00;;
TAWASON-CASILI ROAD;;GP;350.00;;
TAWASON-CASILI ROAD;;RR;250.00;;
ALL OTHER STREETS;;RR;250.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CASUNTINGAN;;;;
GREENHILLS SUBD;;RR;600.00;;
M L QUEZON STREET;MAGUIKAY-CABANCALAN;RR;900.00;;
M L QUEZON STREET;MAGUIKAY-CABANCALAN;I;1,000.00;;
OSMENA SUBDIVISION;;RR;600.00;;
TINGUB-MAGUIKAY;QUESON-BUTUANON RIVER;RR;450.00;;
TINGUB-MAGUIKAY;QUESON-BUTUANON RIVER;I;600.00;;
ALL OTHER STREETS;;I;600.00;;
ALL OTHER STREETS;;RR;450.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CENTRO (POBLACION);;;;
A DEL ROSARIO AVENUE;CENIZA-RIZAL;CR;2,500.00;;
A DEL ROSARIO AVENUE;CENIZA-RIZAL;RR;2,500.00;;
A DEL ROSARIO AVENUE;CENIZA-RIZAL;I;2,500.00;;
A SUSON STREET;ZAMORA-END;CR;2,500.00;;
A SUSON STREET;ZAMORA-END;RR;2,500.00;;
A SUSON STREET;ZAMORA-END;I;2,500.00;;
B CENIZA STREET;LOPEZ JAENA;CR;3,200.00;;
B CENIZA STREET;LOPEZ JAENA;RR;3,000.00;;
B CENIZA STREET;LOPEZ JAENA;I;3,200.00;;
BURGOS STREET;SANCHEZ-END;CR;2,500.00;;
BURGOS STREET;SANCHEZ-END;RR;2,500.00;;
BURGOS STREET;SANCHEZ-END;I;2,500.00;;
DURANO RECLAMATION;;CR;3,200.00;;
DURANO RECLAMATION;;RR;3,000.00;;
DURANO RECLAMATION;;I;3,200.00;;
GOMEZ STREET;CENIZA-BURGOS;CR;3,000.00;;
GOMEZ STREET;CENIZA-BURGOS;RR;3,000.00;;
GOMEZ STREET;CENIZA-BURGOS;I;3,000.00;;
MABINI STREET;PLARIDEL-RIZAL;CR;3,000.00;;
MABINI STREET;PLARIDEL-RIZAL;RR;2,500.00;;
MABINI STREET;PLARIDEL-RIZAL;I;3,000.00;;
PLARIDEL STREET;SEAWALL-SAN ANTONIO;CR;2,500.00;;
PLARIDEL STREET;SEAWALL-SAN ANTONIO;RR;2,500.00;;
PLARIDEL STREET;SEAWALL-SAN ANTONIO;I;2,500.00;;
RIZAL STREET;ZAMORA-SANCHEZ;CR;3,000.00;;
RIZAL STREET;ZAMORA-SANCHEZ;RR;2,500.00;;
RIZAL STREET;ZAMORA-SANCHEZ;I;3,000.00;;
RIZAL EXT (MANDAUE PORT RD);SEAWALL-SANCHEZ;CR;3,000.00;;
RIZAL EXT (MANDAUE PORT RD);SEAWALL-SANCHEZ;RR;3,000.00;;
RIZAL EXT (MANDAUE PORT RD);SEAWALL-SANCHEZ;I;3,000.00;;
ZAMORA STREET;CENIZA-BURGOS;CR;3,000.00;;
ZAMORA STREET;CENIZA-BURGOS;RR;2,500.00;;
ZAMORA STREET;CENIZA-BURGOS;I;3,000.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;RR;2,500.00;;
ALL OTHER STREETS;;I;2,500.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CUBACUB;;;;
CUBACUB-CASILI ROAD;TO ABELLANA STREETS;GP;350.00;;
CUBACUB-CASILI ROAD;TO ABELLANA STREETS;I;500.00;;
CUBACUB-CASILI ROAD;TO ABELLANA STREETS;RR;300.00;;
BAAS JAGOBIAO ROAD;ABELLANA STREET;RR;500.00;;
BAAS JAGOBIAO ROAD;ABELLANA STREET;GP;500.00;;
BAAS JAGOBIAO ROAD;ABELLANA STREET;I;800.00;;
BAAS JAGOBIAO ROAD;ABELLANA STREET;GP;350.00;;
ALL OTHER STREETS;;GP;350.00;;
ALL OTHER STREETS;INTERIOR;I;400.00;;
ALL OTHER STREETS;INTERIOR;RR;350.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;GUIZO;;;;
A CORTES AVENUE;CEBU NORTH RD-BOUNDARY;CR;2,000.00;;
A CORTES AVENUE;CEBU NORTH RD-BOUNDARY;I;1,000.00;;
A CORTES AVENUE;CEBU NORTH RD-BOUNDARY;RR;2,000.00;;
A DEL ROSARIO AVENUE;HIGHWAY-A CORTES AVE;I;1,500.00;;
A DEL ROSARIO AVENUE;HIGHWAY-A CORTES AVE;CR;1,500.00;;
A S FORTUNA STREET;SEAWALL-DEL ROSARIO;RR;800.00;;
A S FORTUNA STREET;SEAWALL-DEL ROSARIO;CR;1,500.00;;
A S FORTUNA STREET;SEAWALL-DEL ROSARIO;I;1,500.00;;
A S FORTUNA STREET;SEAWALL-DEL ROSARIO-M.C;CR;1,500.00;;
A S FORTUNA STREET;BRIONES;I;1,500.00;;
CEBU NORTH ROAD;A CORTES-MAGALLANES;CR;3,000.00;;
CEBU NORTH ROAD;A CORTES-MAGALLANES;RR;2,000.00;;
DEL PILAR STREET;A DEL ROSARIO-A CORTES AVE;RR;500.00;;
DEL PILAR STREET;A DEL ROSARIO-A CORTES AVE;CR;1,000.00;;
DEL PILAR STREET;A DEL ROSARIO-A CORTES AVE;I;1,000.00;;
ESPINA STREET;SEAWALL-DEL ROSARIO;RR;800.00;;
ESPINA STREET;SEAWALL-DEL ROSARIO;I;3,000.00;;
GEN LUNA;DEL PILAR-BOUNDARY;RR;500.00;;
GEN LUNA;DEL PILAR-BOUNDARY;I;800.00;;
GEN LUNA;DEL PILAR-BOUNDARY;CR;800.00;;
MAGALLANES;DEL ROSARIO-CEBU NORTH;CR;1,500.00;;
MANTUYONG;GEN LUNA-END;RR;500.00;;
MANTUYONG;GEN LUNA-END;I;800.00;;
MANTUYONG;GEN LUNA-END;CR;800.00;;
STO. NINO SUBD;;RR;600.00;;
URDANETA STREET;DEL ROSARIO-END;CR;1,500.00;;
URDANETA STREET;DEL ROSARIO-END;RR;800.00;;
URDANETA STREET;DEL ROSARIO-END;I;1,500.00;;
ALL OTHER STREETS;;CR;1,500.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;RR;600.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;IBABAO (ESTANCIA);;;;
A CORTES AVENUE;;CR;2,000.00;;
A CORTES AVENUE;;RR;1,500.00;;
A CORTES AVENUE;;I;2,000.00;;
CEBU  NORTH ROAD;;CR;2,000.00;;
CEBU  NORTH ROAD;;RR;1,000.00;;
CEBU  NORTH ROAD;;I;2,000.00;;
LIBERTAD;;CR;1,000.00;;
LIBERTAD;;RR;800.00;;
LIBERTAD;;I;1,000.00;;
RIZAL STREET;;CR;2,000.00;;
RIZAL STREET;;RR;1,500.00;;
RIZAL STREET;;I;2,000.00;;
SANCHEZ STREET;;CR;1,000.00;;
SANCHEZ STREET;;RR;800.00;;
SITIO ESTANCIA;;CR;1,000.00;;
SITIO ESTANCIA;;RR;1,000.00;;
SITIO ESTANCIA;;I;1,000.00;;
ALL OTHER STREETS;;CR;1,000.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;800.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;JAGOBIAO;;;;
BAAS-JAGOBIAO ROAD;ABELLANA-END;RR;760.00;;
CEBU NORTH ROAD END;BASAK-DUNGOAN RD-END;RR;600.00;;
CEBU NORTH ROAD END;BASAK-DUNGOAN RD-END;I;1,000.00;;
CEBU NORTH ROAD END;BASAK-DUNGOAN RD-END;CR;1,000.00;;
EVERSLEY SANITARIUM;;GL;-;;
SITIO TUNGASAN;;RR;150.00;;
UNION CARBIDE HILLS;;I;800.00;;
UNION CARBIDE HILLS;;RR;600.00;;
UNION CARBIDE HILLS;;CR;800.00;;
ALL OTHER STREETS;;RR;150.00;;
ALL OTHER STREETS;;GP;150.00;;
ALL OTHER STREETS;;I;600.00;;
ALL OTHER STREETS;;CR;600.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;LABOGON;;;;
CEBU NORTH ROAD;S JAYME-LABOGON;RR;1,000.00;;
CEBU NORTH ROAD;S JAYME-LABOGON;I;2,000.00;;
CEBU NORTH ROAD;S JAYME-LABOGON;CR;2,000.00;;
DONA ROSARIO VILLGAE;;RR;600.00;;
LABOGON CIRCUMFERENTIAL RD;LABOGON-DONA ANTONIA VILL;RR;800.00;;
LABOGON CIRCUMFERENTIAL RD;LABOGON-DONA ANTONIA VILL;I;800.00;;
LABOGON CIRCUMFERENTIAL RD;LABOGON-DONA ANTONIA VILL;CR;800.00;;
LABOGON ROAD;LABOGON CIR-END;RR;800.00;;
LABOGON ROAD;LABOGON CIR-END;I;800.00;;
LABOGON ROAD;LABOGON CIR-END;CR;800.00;;
LABOGON-PAKNA-AN;JAYME-PAKNA-AN-LABOGON;RR;800.00;;
