RDO:;RDO NO. 9 - LA TRINIDAD, BENGUET;;;;
PROVINCIAL ROAD;MANAG-TANEG-COPCOPIT;RR;60.00;;
PROVINCIAL ROAD;KM. 64-MADAYMEN TERMINAL;RR;100.00;;
OTHER ROADS;KM. 71-SOOKAN-GAMBANG PROPER;RR;100.00;;
OTHER ROADS;POBLACION-SITIO TABBAC;RR;60.00;;
OTHER ROADS;MADAYMEN TERMINAL-TABBAC JUNCT.;RR;80.00;;
OTHER ROADS;LEWANG JUNCT. Via SIPITAN, PALIDAN;RR;80.00;;
OTHER ROADS;PAPASOK-SINACBAT LEWANG JUNCTION via BOLBOLO;RR;50.00;;
OTHER ROADS;PALIDAN-GUEWENG-BAKUNG MANKAY;RR;50.00;;
ALL OTHER STREETS;;RR;50.00;;
ALL OTHER STREETS;;I;100.00;;
ALL OTHER STREETS;;A1;5.00;;
ALL OTHER STREETS;;A2;4.00;;
ALL OTHER STREETS;;A3;3.00;;
ALL OTHER STREETS;;A25;2.00;;
ALL OTHER STREETS;VEGETABLE LAND WITH IRRIGATION;A47;5.00;;
ALL OTHER STREETS;VEGETABLE LAND W/OUT IRRIGATION;A47;3.00;;
CITY/ MUNICIPALITY:;BAKUN;;;;
BARANGAY:;SINACBAT;;;;
ALL LOTS;;RR;6.00;;
ALL LOTS;;A1;5.00;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A25;1.00;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;3.00;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;2.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;AMBUCLAO;;;;
ALL LOTS;;RR;100.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;BILA;;;;
ALL LOTS;;RR;50.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;BOBOK-BISAL;;;;
ALL LOTS;;RR;45.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;DACLAN;;;;
ALL LOTS;;RR;60.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;EKIP;;;;
ALL LOTS;;RR;40.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;KARAO;;;;
ALL LOTS;;RR;40.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;NAWAL;;;;
ALL LOTS;;RR;50.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;PITO;;;;
ALL LOTS;;RR;60.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;;RR;90.00;;
CITY/ MUNICIPALITY:;BOKOD;;;;
BARANGAY:;ALL BARANGAYS (AGRICULTURAL LAND);;;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;6.00;;
ALL LOTS;;A3;6.00;;
ALL LOTS;;A25;6.00;;
ALL LOTS;;A47;12.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;ABATAN;;;;
NATIONAL ROAD;;RR;77.00;;
NATIONAL ROAD;NAT'L RD-ABATAN-BANGAO;RR;77.00;;
NATIONAL ROAD;NAT'L RD-ABATAN-BANGAO;CR;250.00;;
NATIONAL ROAD;ABATAN-LOO;RR;77.00;;
NATIONAL ROAD;ABATAN-LOO;A1;15.00;;
NATIONAL ROAD;ABATAN-LOO;A2;9.00;;
NATIONAL ROAD;ABATAN-LOO;A3;6.00;;
NATIONAL ROAD;ABATAN-LOO;A25;10.00;;
NATIONAL ROAD;VEGETABLE LAND WITH IRRIGATION;A47;27.00;;
NATIONAL ROAD;VEGETABLE LAND W/OUT IRRIGATION;A47;12.00;;
NATIONAL ROAD;INTERIOR;A1;7.50;;
NATIONAL ROAD;INTERIOR;A2;4.50;;
NATIONAL ROAD;INTERIOR;A3;3.00;;
NATIONAL ROAD;INTERIOR;A25;4.00;;
NATIONAL ROAD;VEGETABLE LAND WITH IRRIGATION;A47;14.00;;
NATIONAL ROAD;VEGETABLE LAND W/OUT IRRIGATION;A47;6.00;;
BARANGAY ROAD;;RR;77.00;;
ALL OTHER LOTS;;RR;77.00;;
CITY/ MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;AMGALEYGUEY;;;;
ALL LOTS;ALONG NATIONAL ROAD;RR;77.00;;
ALL LOTS;ALONG BARANGAY ROAD;RR;77.00;;
