PASIG BLVD;VARGAS-RAYMUNDO;CR;20,000.00;;
R DEL ROSARIO;ANTONIO AVE-RIVER;RR;5,000.00;;
RAYMUNDO AVE;SAN ANTONIO-PASIG BLVD;RR;6,000.00;;
RAYMUNDO AVE;SAN ANTONIO-PASIG BLVD;CR;12,000.00;;
RAYMUNDO AVE;PASIG BLVD-MERCEDES AVE;RR;8,000.00;;
RAYMUNDO AVE;PASIG BLVD-MERCEDES AVE;CR;10,000.00;;
RAYMUNDO AVE;MERCEDES - MAYBUNGA;RR;7,000.00;;
RAYMUNDO AVE;MERCEDES - MAYBUNGA;CR;15,000.00;;
RAYMUNDO AVE;MERCEDES - MAYBUNGA;I;10,000.00;;
SGT P BERNARDO;ANTONIO-RIVER;RR;3,000.00;;
TATLONG BAYANI;ANTONIO AVE-RIVER;RR;3,000.00;;
UNITED GLORIETTA III;C RAYMUNDO;CR;4,500.00;;
VILLA SUSANA;JUANA,JACINTO,ISIDRO;RR;3,000.00;;
ALL OTHER STREETS;;RR;3,000.00;;
ALL OTHER STREETS;;CR;4,000.00;;
CALLEJON;1 LANE ROAD;RR;2,000.00;;
ALLEY;PEDESTRIAN;RR;1,500.00;;
ALLEY;PEDESTRIAN;;;;
BARANGAY:;DELA PAZ;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;4TH REV. ZV/SQ.M.;;
AMANG RODRIGUEZ;MANGGAHAN-MARIKINA BDRY;CR;15,000.00;;
AMANG RODRIGUEZ;MANGGAHAN-MARIKINA BDRY;RR;8,000.00;;
AMANG RODRIGUEZ;MANGGAHAN-MARIKINA BDRY;I;12,000.00;;
BARTVILLE SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
BREEZY SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
CHARLES SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
CHASON SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
CHRISTINE SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
DREAM HOME SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
EMERALD SUBD;A RODRIGUEZ AVENUE;RR;5,000.00;;
F MARIANO;MRR;RR;4,000.00;;
F MARIANO;MRR;I;10,000.00;;
GSIS SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
IMELDA AVE;A RODRIGUEZ AVENUE;CR;20,000.00;;
IMELDA AVE;A RODRIGUEZ AVENUE;I;12,000.00;;
LIMKIN SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
MANILA MAHOGANY;A RODRIGUEZ AVENUE;RR;4,000.00;;
MAR VILLAGE;A RODRIGUEZ AVENUE;RR;4,000.00;;
MARCOS HIGHWAY;A RODRIGUEZ AVENUE;CR;20,000.00;;
MARCOS HIGHWAY;A RODRIGUEZ AVENUE;I;12,000.00;;
OCTAGON SUBD;A RODRIGUEZ AVENUE;RR;5,000.00;;
PASIG GREEN PARK VIL;A RODRIGUEZ AVE-IMELDA;RR;5,500.00;;
PASIG GREEN PARK VIL;A RODRIGUEZ AVE-IMELDA;CR;10,000.00;;
PASIG GREEN PARK VIL;A RODRIGUEZ AVE-IMELDA;I;8,000.00;;
SIGNAL SUBD;MARCOS HWAY;RR;4,000.00;;
SONIA SUBD;A RODRIGUEZ AVENUE;RR;4,000.00;;
VISTA VERDE;IMELDA AVE;RR;5,500.00;;
ALL OTHER SUBD;;RR;4,000.00;;
