RDO:;RDO NO. 49 - NORTH MAKATI;;;Formerly (RDO. 32 Makati East);
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MAKATI CITY;;;;
BARANGAY:;BEL-AIR VILLAGE;;;;
AMAPOLA;MERCEDES;RR;1,700.00;;
AMAPOLA ZODIAC;BUENDIA AVE.;RR;1,700.00;;
ANTARES;;RR;1,700.00;;
AQUARIUS;;RR;1,700.00;;
AQUARIUS;MERCEDES;RR;1,700.00;;
ARIES;BUENDIA;RR;1,700.00;;
ASTERIOD;BUENDIA AVE.;RR;1,700.00;;
CANOPUS;;RR;1,700.00;;
COMET;BUENDIA AVE.;RR;1,700.00;;
CONSTELLATION;MAKATI AVE.;RR;1,700.00;;
GALAXY;BUENDIA AVE.;RR;2,000.00;;
HERCULES;MAKATI AVE.;RR;2,000.00;;
HYDRA;MERCEDES;RR;2,000.00;;
JUNO;MAKATI AVE.;RR;2,000.00;;
JUNO ORBIT;BUENDIA;RR;2,000.00;;
JUPITER;BUENDIA;RR;2,000.00;;
LEO;EDSA;RR;2,000.00;;
LIBRA;MERCEDES;RR;2,200.00;;
LIBRA;;RR;2,200.00;;
MAKATI AVE.;;CR;2,500.00;;
MAKATI AVE. JUNO;MAKATI AVE.;RR;3,100.00;;
MARS;MERCEDES;RR;2,000.00;;
MERCEDES;;RR;2,200.00;;
MERCURY;BUENDIA AVE.;RR;2,200.00;;
NEPTUNE;MAKATI AVE.;RR;2,200.00;;
ORBIT;;RR;2,200.00;;
ORBIT JUPITER;BUENDIA;RR;2,200.00;;
ORION;;RR;2,200.00;;
P. BURGOS;;RR;2,200.00;;
P. DE ROXAS;P DE ROXAS;CR;2,500.00;;
PLANET MERCEDES;MERCEDES;RR;2,200.00;;
POLARIS;BUENDIA AVE.;RR;2,200.00;;
REPOSO;;RR;2,200.00;;
SATURN;BUENDIA AVE.;RR;2,200.00;;
SOLAR;MERCEDES;RR;2,200.00;;
STELLA;MERCEDES;RR;2,200.00;;
TAURUS LIBRA;MERCEDES;RR;2,200.00;;
ZODIAC;EDSA;RR;2,200.00;;
ZODIAL ADALLA;EDSA;RR;2,200.00;;
ZODIAL ADALLA;EDSA;;;;
BARANGAY:;CARMONA;;;;
D. VILLENA;;RR;700.00;;
E. ARPELLEDA;;RR;700.00;;
E. PASCUA;;RR;700.00;;
GUIZON;;RR;700.00;;
H. GARCIA;;RR;700.00;;
H. SANTOS;;RR;700.00;;
MENDOZA;P. TAMO;RR;700.00;;
P. DOMINGO;;RR;700.00;;
P. TAMO;;RR;700.00;;
PERRY;;RR;700.00;;
RODRIGUEZ;;RR;700.00;;
T. MAGSAYSAY;;RR;700.00;;
BARANGAY:;FORBES PARK;;;;
AGOHO;;RR;2,200.00;;
ANAHAW;EDSA;RR;2,200.00;;
BALETE;;RR;2,200.00;;
BANABA;PASAY RD.;RR;2,200.00;;
BANYAN;;RR;2,200.00;;
BUENDIA;BUENDIA;RR;2,200.00;;
CAMBRIDGE;EDSA;RR;2,200.00;;
DAPDAP;EDSA;RR;2,200.00;;
FLAME TREE;;RR;2,200.00;;
HARVARD;;RR;2,200.00;;
JACARANDS;;RR;2,200.00;;
KAWAYAN;;RR;2,200.00;;
MAHOGANY MOLAVE;PASAY RD.;RR;2,200.00;;
MCKINLEY;PASAY RD.;RR;2,200.00;;
NARRA;PASAY RD.;RR;2,200.00;;
PALM AVE.;;RR;2,200.00;;
PANDAN;;RR;2,200.00;;
PARK RD.;;RR;2,200.00;;
PILI;PASAY RD.;RR;2,200.00;;
PILI PALM;PASAY RD.;RR;2,200.00;;
QUINGUA;;RR;2,200.00;;
TALISAY;;RR;2,200.00;;
TAMARIND;PASAY RD.;RR;2,200.00;;
TANGUILE;;RR;2,200.00;;
BARANGAY:;GUADALUPE NUEVO;;;1.   APD - Value of Land Under APD is P500.00/Sq. M.     A.  N NW-Dapitan St.     B.  E SE-Masilang, Mercedes, and Visayas with Mercedes                    Connecting Masilang and Visayas     C.  W SW-Jacinto, Mercedes, and Sgt. Yabut with Mercedes                   Connecting Jacinto and Sgt. Yabut.;
ANASTACIO;EDSA;RR;1,000.00;;
BATAAN;EDSA;RR;1,000.00;;
CAMINO;;RR;1,000.00;;
CAPAS;;RR;1,000.00;;
COMMERCIO;EDSA;RR;1,000.00;;
CORREGIDOR;EDSA;RR;1,000.00;;
DAPITAN;;RR;1,000.00;;
DEL CARMEN;;RR;1,000.00;;
DELA FE;;RR;1,000.00;;
DELA PAZ;;RR;1,000.00;;
ESCUELA;;RR;1,000.00;;
FELIPE;;RR;1,000.00;;
GABONG;;RR;1,000.00;;
GOV. NOBLE;;RR;1,000.00;;
JACINTO;;RR;1,000.00;;
LA BANDA;;RR;1,000.00;;
LA CONSOLACION;;RR;1,000.00;;
MACTAN;;RR;1,000.00;;
MAGALLANES;;RR;1,000.00;;
MANGAHAN;;RR;1,000.00;;
MASILANG;;RR;1,000.00;;
MERCEDES;;RR;1,000.00;;
NTR. SRA. ANTIPOLO;;RR;1,000.00;;
P. BURGOS;;RR;1,000.00;;
P. URDANETA;;RR;1,000.00;;
P. VICTOR;;RR;1,000.00;;
PALAWAN;;RR;1,000.00;;
R. MAGSAYSAY;EDSA;RR;1,000.00;;
REPOSO;;RR;1,000.00;;
RETIRO;;RR;1,000.00;;
SAMPAGUITA;;RR;800.00;;
SAN NICOLAS;;RR;800.00;;
VISAYA;EDSA;RR;800.00;;
YABUT CIRCLE;EDSA;RR;800.00;;
BARANGAY:;GUADALUPE VIEJO;;;;
ADALLA;EDSA;RR;1,300.00;;
ADALLA;;RR;1,300.00;;
AMAPOLA;;RR;1,300.00;;
ANTIPOLO;J. P. RIZAL;RR;1,300.00;;
AZUCENA;EDSA;RR;1,300.00;;
BERNARDINA;;RR;1,300.00;;
BERNARDINO;;RR;1,300.00;;
CARBALLO;;RR;1,300.00;;
CHAMPACA;;RR;1,300.00;;
