RDO:;RDO NO. 26 - MALABON-NAVOTAS;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;ACACIA;;;;
BASILIO;MH DEL PILAR - SISA;RR;2,450.00;;
BASILIO;MH DEL PILAR - SISA;CR;3,170.00;;
CAPT TIAGO;ISAGANI - SISA;RR;2,305.00;;
CAPT TIAGO;ISAGANI - SISA;CR;3,025.00;;
CONSUELO;END VIA MA CLARA - END;RR;2,305.00;;
CONSUELO;END VIA MA CLARA - END;CR;3,025.00;;
ELIAS;BASILIO - ISAGANI;RR;2,305.00;;
ELIAS;BASILIO - ISAGANI;CR;3,025.00;;
FLERIDA;BASILIO-CAPT TIAGO;RR;2,305.00;;
FLERIDA;BASILIO-CAPT TIAGO;CR;3,025.00;;
GOV PASCUAL (BALAGTAS);MH DEL PILAR - RR;RR;5,760.00;;
GOV PASCUAL (BALAGTAS);MH DEL PILAR - RR;CR;6,480.00;;
IBARRA;PASCUAL - TIAGO MKT;RR;2,450.00;;
IBARRA;PASCUAL - TIAGO MKT;CR;3,170.00;;
ISAGANI;BASILIO - BO BDRY;RR;2,305.00;;
ISAGANI;BASILIO - BO BDRY;CR;3,025.00;;
LIGAYA;MA CLARA - SISA;RR;2,305.00;;
LIGAYA;MA CLARA - SISA;CR;3,025.00;;
LIWAYWAY;MA CLARA - SISA;RR;2,305.00;;
LIWAYWAY;MA CLARA - SISA;CR;3,025.00;;
MA CLARA;GOV PASCUAL - LIWAYWAY;RR;2,450.00;;
MA CLARA;GOV PASCUAL - LIWAYWAY;CR;3,170.00;;
M H DEL PILAR;GOV PASCUAL - AVE - BDRY;RR;4,320.00;;
M H DEL PILAR;GOV PASCUAL - AVE - BDRY;CR;5,040.00;;
SIMON;FLERIDA - SISA;RR;2,305.00;;
SIMON;FLERIDA - SISA;CR;3,025.00;;
SISA;GOV PASCUAL - LIGAYA;RR;2,450.00;;
SISA;GOV PASCUAL - LIGAYA;CR;3,170.00;;
ALL OTHER STREETS;;RR;2,305.00;;
ALL OTHER STREETS;;CR;3,025.00;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;BARITAN;;;;
A BONIFACIO;GEN LUNA-MAL NAV RT;RR;5,185.00;;
A BONIFACIO;INTERIOR;RR;3,600.00;;
A CRUZ;GEN LUNA-SAMSON;RR;1,875.00;;
AYROSO;TUAZON-GEN LUNA;RR;1,875.00;;
BERNALES;C ARELLANO-TALABAHAN;RR;1,875.00;;
BERNARDO;GEN LUNA-SAMSON;RR;2,880.00;;
C ARELLANO;BONIFACIO-MARCELO;RR;4,610.00;;
CONSTANTINO;A CRUZ-GUEKEKO;RR;1,875.00;;
D MARCELO;C ARELLANO-GEN LUNA;RR;1,875.00;;
EUSEBIO;C ARELLANO-GEN LUNA;RR;1,875.00;;
GEN LUNA;BONIFACIO-MARCELO;RR;5,185.00;;
GEN LUNA;BONIFACIO-MARCELO;CR;5,760.00;;
ILANG-ILANG I-IV;ILANG-ILANG-A CRUZ;RR;1,875.00;;
ILANG-ILANG;GEN LUNA-ILANG-ILANG;RR;1,875.00;;
GUEKEKO;GEN LUNA-CONSTANTINO;RR;1,875.00;;
JAVIER I & II;NAVAL-GEN LUNA;RR;1,875.00;;
M NAVAL EXT;BONIFACIO-EUSEBIO;RR;4,035.00;;
M NAVAL EXT;BONIFACIO-EUSEBIO;CR;4,610.00;;
G BORJA;C ARELLANO-GEN LUNA;RR;4,035.00;;
G BORJA;C ARELLANO-GEN LUNA;CR;4,610.00;;
PESCADOR;BONIFACIO-BERNALES;RR;1,875.00;;
SAMSON;BERNARDO;RR;1,875.00;;
STO ROSARIO VILLAGE;LOTS AROUND;RR;2,880.00;;
TALABAHAN;ILANG-ILANG-MUZON;RR;1,875.00;;
TUAZON;EUSEBIO-D MARCELO;RR;1,875.00;;
ALL OTHER STREETS;;RR;1,440.00;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;BAYAN-BAYANAN;;;;
CELIA I;GEN LUNA-CREEK;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
CELIA II (B-BAYANAN);GEN LUNA-CREEK;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
GEN LUNA;BONIFACIO-RODRIGUEZ;RR;5,185.00;;
GEN LUNA;BONIFACIO-RODRIGUEZ;CR;5,760.00;;
KATIPUNAN;GEN LUNA-CREEK;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
LIWAYWAY;GEN LUNA-CREEK;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
RODRIGUEZ;LUNA-B-BAYANAN-CREEK;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
ALL OTHER STREETS;;RR;1,440.00;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;CATMON;;;;
BUSTAMANTE;;RR;1,585.00;;
BUSTAMANTE;INTERIOR;RR;1,155.00;;
GOV PASCUAL AVE;LAMBINGAN-SANCIANGCO;RR;1,585.00;;
GOV PASCUAL AVE;INTERIOR;RR;1,155.00;;
GOV PASCUAL AVE;LAMBINGAN-SANCIANGCO;CR;4,755.00;;
HERNANDEZ;GOV PASCUAL AVE-END;RR;1,585.00;;
HERNANDEZ;INTERIOR;RR;1,155.00;;
SANCIANGCO;CATMON BRIDGE-TINAJEROS;RR;1,875.00;;
SANCIANGCO;INTERIOR;RR;1,300.00;;
VALDEZ;SANCIANGCO-HERNANDEZ;RR;1,875.00;;
VALDEZ;INTERIOR;RR;1,300.00;;
LUCAS;;RR;1,875.00;;
LUCAS;INTERIOR;RR;1,300.00;;
ALL OTHER STREETS;;RR;1,585.00;;
ALL OTHER STREETS;INTERIOR;RR;1,155.00;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;CONCEPCION;;;;
A LUNA;C ARELLANO-END;RR;2,880.00;;
