RDO:;RDO NO. 80 - MANDAUE CITY, CEBU;;;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;PULPOGAN;;;;
BARANGAY ROAD;;RR;750.00;;
BARANGAY ROAD;;A;475.00;;
BARANGAY ROAD;BDRY POB OCC-PULPGN;RR;650.00;;
BARANGAY ROAD;BDRY POB OCC-PULPGN;A;500.00;;
BARANGAY ROAD;INTERIOR;RR;375.00;;
BARANGAY ROAD;INTERIOR;A;275.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;SACSAC;;;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;;A;112.50;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A;80.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY:;TAYUD;;;;
ALONG BARANGAY ROAD;;RR;875.00;;
ALONG BARANGAY ROAD;;A;650.00;;
ALONG BARANGAY ROAD;INTERIOR;RR;575.00;;
ALONG BARANGAY ROAD;INTERIOR;A;325.00;;
ALONG BARANGAY ROAD;INTERIOR;I;1,375.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY:;TILHAUNG;;;;
BARANGAY ROAD;;RR;225.00;;
BARANGAY ROAD;;A;150.00;;
BARANGAY ROAD;INTERIOR;RR;200.00;;
BARANGAY ROAD;INTERIOR;A;100.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY:;TOLOTOLO;;;;
WINDFIELDS SUBD;;RR;2,500.00;;
BARANGAY ROAD;;RR;500.00;;
BARANGAY ROAD;;A;225.00;;
BARANGAY ROAD;INTERIOR;RR;200.00;;
BARANGAY ROAD;INTERIOR;A;87.50;;
BARANGAY ROAD;TOLOTOLO PROP-CABANGAI;A;150.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY:;TOGBONGAN;;;;
BARANGAY ROAD;;RR;1,250.00;;
BARANGAY ROAD;;I;1,250.00;;
BARANGAY ROAD;;A;450.00;;
BARANGAY ROAD;INTERIOR;RR;750.00;;
BARANGAY ROAD;INTERIOR;A;375.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;ALEGRIA;;;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;200.00;;
BARANGAY ROAD;INTERIOR;CR;250.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;BANG-BANG;;;;
BARANGAY ROAD;;CR;400.00;;
BARANGAY ROAD;;RR;300.00;;
BARANGAY ROAD;;A;30.00;;
BARANGAY ROAD;INTERIOR;RR;200.00;;
BARANGAY ROAD;INTERIOR;CR;250.00;;
CITY/MUNICIPALITY:;CORDOVA;;;;
BARANGAY:;BUAGSONG;;;;
BARANGAY ROAD;;CR;400.00;;
