RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
CULTIVATED TO CROPS;;A2;1.90;;
PLANTED TO COCONUT/ORCHARD;;A1;2.50;;
PLANTED TO COCONUT/ORCHARD;;A2;1.90;;
PASTURE/OPEN RANGE;;A1;1.50;;
PASTURE/OPEN RANGE;;A2;1.00;;
WITHIN/NEAR GOLF SITE;;A2;3.50;;
ALONG SHORELINE;;GP;3.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;MALABAGO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;30.00;;
BARANGAY ROAD;;A;25.00;;
BUILT-UP AREA;;CR;27.50;;
CULTIVATED TO CROPS;;A1;2.75;;
CULTIVATED TO CROPS;;A2;2.00;;
PLANTED TO COCONUT/ORCHARD;;A1;2.50;;
PLANTED TO COCONUT/ORCHARD;;A2;2.00;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.20;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;MALABAGO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;30.00;;
BARANGAY ROAD;;A;22.50;;
BUILT-UP AREA;;CR;22.50;;
CULTIVATED TO CROPS;;A1;2.00;;
CULTIVATED TO CROPS;;A2;1.65;;
PLANTED TO COCONUT/ORCHARD;;A1;2.00;;
PLANTED TO COCONUT/ORCHARD;;A2;1.65;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;MANDUYONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;27.50;;
BARANGAY ROAD;;A;22.50;;
BUILT-UP AREA;;CR;22.50;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.50;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.50;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;MATUTINAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;27.50;;
BUILT-UP AREA;;CR;27.50;;
CULTIVATED TO CROPS;;A1;2.00;;
CULTIVATED TO CROPS;;A2;1.60;;
PLANTED TO COCONUT/ORCHARD;;A1;2.00;;
PLANTED TO COCONUT/ORCHARD;;A2;1.60;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
NEAR KAWASAN FALLS;;GP;35.00;;
ALONG SHORELINE;;GP;27.50;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;PATONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;POBLACION BRY-BASAK RIVER;RR;45.00;;
PROVINCIAL ROAD;BASAK RIVER-L EJERCITO ST;CR;65.00;;
PROVINCIAL ROAD;L EJERCITO ST-POBLACION EXCLUDING INTERIOR;RR;62.50;;
PROVINCIAL ROAD;INTERIOR AREAS W/IN ABOVE;A;45.00;;
PROVINCIAL ROAD;POBLACION-T AGRAVANTE ST;RR;47.50;;
PROVINCIAL ROAD;T AGRAVANTE-L EJERCITO;CR;65.00;;
PROVINCIAL ROAD;L EJERCITO-POBLACION EXCLUDING INTERIOR;RR;60.00;;
PROVINCIAL ROAD;INTERIOR AREAS W/IN ABOVE;A;45.00;;
PUBLIC MARKET SITE;BLOCK BNDED BY PROV'L RD,B TABOADA, G TABOADA & T DIVINAGRACIA;CR;80.00;;
J RIZAL STREET;PROV'L-J CABALLERO;RR;50.00;;
CABALLEROS TREET;PROV'L RD-SOTOMAYOR ST;RR;67.50;;
NATIONAL HIGHWAY;PROV'L RD-R PADIN ST;RR;70.00;;
NATIONAL HIGHWAY;R PADIN ST-INTERIOR LOTS WEST & EAST SIDE;A1;52.50;;
L EJERCITO STREET;PROV'L RD-R PADIN ST;GL;0.00;;
B TAOBADA STREET;NORTHER SIDE-TABOADA ST;CR;67.50;;
B TAOBADA STREET;INTERIOR LOTS NORTH TABOA;RR;40.00;;
T DIVINAGRACIA STREET;SOUTHERN SIDE-TABOADA ST;RR;62.50;;
L CABALLERO STREET;PROV'L RD-TABOADA ST;RR;60.00;;
INTERIOR AREAS 50 METERS FROM PROVINCIAL ROAD;BLOCK BNDED BY PROV'L RD, J RIZAL, J AGRAVANTE &;A;55.00;;
INTERIOR AREAS 50 METERS FROM PROVINCIAL ROAD;BLOCK BNDED BY SOTOMAYOR J RIZAL, J AGRAVANTE & J CABALLERO STS;RR;52.50;;
SOTOMAYOR STREET;T AGRAVANTE-J CABALLERO;RR;57.50;;
SOTOMAYOR STREET;INTERIOR LOTS EAST SOTOMA;A;42.50;;
J RIZAL STREET;INTERIOR LOTS NE J RIZAL PROV'L RD TO T AGRAVANTE;A;42.50;;
R PADIN STREET;"J CABALLERO-NAT;L HIGHWAY";RR;52.50;;
R PADIN STREET;NAT'L HI-WAY L EJERCITO;A;47.50;;
R PADIN STREET;INT LOTS EAST R PADIN;A1;45.00;;
J AGRAVANTE STREET;T AGRAVANTE-J CABALLERO;RR;60.00;;
J AGRAVANTE STREET;PROV'L RD-SOTOMAYOR;RR;60.00;;
G TABOADA STREET;B TABOADA-L CABALLERO;RR;60.00;;
INTERIOR AREAS 50 METERS FROM PROV'L ROAD;BLOCK BNDED BY J RIZAL,T AGRAVANTE & J CABALLERO;RR;57.50;;
INTERIOR AREAS 50 METERS FROM PROV'L ROAD;BLOCK BNDED BY AGRAVANTE,J CABALLERO, PROV'L RD;RR;62.50;;
INTERIOR AREAS 50 METERS FROM PROV'L ROAD;BLOCK BNDED BY R PADIN, J CABALLERO, NAT'L HI-WAY & PROV'L ROAD;A;62.50;;
INTERIOR AREAS 50 METERS FROM PROV'L ROAD;BLOCK BNDED BY PROV'L RD, T DIVINAGRACIA, L CABALLERO & G TABOADA;A;57.50;;
INTERIOR AREAS EXCLUDING SCHOOL COMPOUND;BLOCK BNDED BY R PADIN, J NAT'L HIWAY, PROV'L RD & L EJERCITO;A;57.50;;
INTERIOR AREAS BEHIND HEALTH CENTER;ALONG T CABALLEROS TREET;A;57.50;;
OTHER INTERIOR AREAS;;A;57.50;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;SANLAGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;2.00;;
CULTIVATED TOC ROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;2.00;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;SANTICON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;1.35;;
CULTIVATED TOC ROPS;;A2;1.00;;
PLANTED TO COCONUT/ORCHARD;;A1;1.35;;
PLANTED TO COCONUT/ORCHARD;;A2;1.00;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;SOHOTON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;1.90;;
CULTIVATED TOC ROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.10;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;SULSOGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;1.90;;
CULTIVATED TOC ROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;TALAYONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;1.35;;
CULTIVATED TOC ROPS;;A2;1.10;;
PLANTED TO COCONUT/ORCHARD;;A1;1.35;;
PLANTED TO COCONUT/ORCHARD;;A2;1.10;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;TAYTAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;3.25;;
CULTIVATED TO CROPS;;A1;2.90;;
CULTIVATED TO CROPS;;A2;2.50;;
PLANTED TO COCONUT/ORCHARD;;A1;2.75;;
PLANTED TO COCONUT/ORCHARD;;A2;2.25;;
PASTURE/OPEN RANGE;;A1;1.90;;
PASTURE/OPEN RANGE;;A2;1.50;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;TIGBAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;2.00;;
CULTIVATED TOC ROPS;;A2;1.50;;
PLANTED TO COCONUT/ORCHARD;;A1;2.00;;
PLANTED TO COCONUT/ORCHARD;;A2;1.50;;
FOREST/TIMBERLAND;;A1;1.25;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.25;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;TIGDIB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TOC ROPS;;A1;1.90;;
CULTIVATED TOC ROPS;;A2;1.34;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.34;;
FOREST/TIMBERLAND;;A1;1.10;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;TUBOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALONG BARANGAY ROAD;;A;30.00;;
BUILT-UP AREAS;;CR;22.50;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.50;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.50;;
PASTURE/OPEN RANGE;;A1;1.35;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;ZARAGOZA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TO CROPS;;A1;2.75;;
CULTIVATED TO CROPS;;A2;2.25;;
PLANTED TO COCONUT/ORCHARD;;A1;2.75;;
PLANTED TO COCONUT/ORCHARD;;A2;2.25;;
MARSHLAND/SWAMPS;;A3;1.10;;
PASTURE/OPEN RANGE;;A1;1.75;;
PASTURE/OPEN RANGE;;A2;1.25;;
NEAR VICINITY OF BEACH  HOTEL;;GP;60.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;AZUCENA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;A;45.00;;
INTERIOR AREAS 50 METERS;;A;1.90;;
FROM NATIONAL ROAD;;A1;1.60;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;BAGAKAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.40;;
INTERIOR AREAS;;A1;1.00;;
INTERIOR AREAS;;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;BALAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CANDAHUNOG;ALONG BARANGAY ROAD;A;19.00;;
SITIO CANDAHUNOG;INTERIOR AREAS;A;1.10;;
SITIO MALAPANGI;INTERIOR AREAS;A1;1.00;;
SITIO CATAP;INTERIOR AREAS;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;BOLOC-BOLOC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;A;45.00;;
INTERIOR AREA;;A;1.90;;
INTERIOR AREA;;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;BUDBUD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CANTABO;ALONG BARANGAY ROAD;A;1.40;;
SITIO CANTABO;INTERIOR AREA;A1;1.00;;
SITIO ESKINA;ALONG BARANGAY ROAD;A;1.40;;
SITIO ESKINA;INTERIOR AREA;A1;1.00;;
SITIO GISO;INTERIOR AREA;A1;1.00;;
SITIO MANGGA;INTERIOR AREA;A1;1.00;;
SITIO VILLEGAS;INTERIOR AREA;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;BUGTONG KAWAYAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;;A1;27.50;;
ALL AREAS;;A2;1.25;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:  CABCABAN;CABCABAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;A;27.50;;
INTERIOR AREAS;;A1;1.25;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;CAGAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.40;;
INTERIOR AREAS;;A1;1.10;;
INTERIOR AREAS;;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;CAMPANGA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO TAGBAK;ALONG BARANGAY ROAD;A;2.75;;
SITIO TAGBAK;INTERIOR AREA;A1;1.75;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;CANDUGAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO LANTAWAN;ALONG BARANGAY ROAD;A;9.00;;
SITIO LANTAWAN;INTERIOR AREA;A1;1.15;;
SITIO CANSABONG;ALONG BARANGAY ROAD;A;7.50;;
SITIO CANSABONG;INTERIOR AREA;A1;1.00;;
SITIO PALANAS;INTERIOR AREA;A2;1.00;;
SITIO STA. CRUZ;INTERIOR AREA;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;DAKIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;A;45.00;;
NATIONAL ROAD;;A1;1.90;;
BARANGAY ROAD;;A;28.00;;
INTERIOR AREAS;;A1;1.15;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;GILOCTOG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO TUNGA;ALONG BARANGAY ROAD;A;27.50;;
SITIO TUNGA;INTERIOR AREAS;A1;1.10;;
SITIO CANTINAGO;INTERIOR AREAS;A1;1.00;;
SITIO CANLATUMBO;INTERIOR AREAS;A1;1.00;;
SITIO ILAYA;INTERIOR AREAS;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;GUIBUANGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;45.00;;
INTERIOR AREAS;;A1;1.25;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;GUIWANON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CANLUWAG;ALONG PROV'L ROAD;A;40.00;;
SITIO CANLUWAG;INTERIOR AREAS;A1;1.10;;
SITIO MOHON;INTERIOR AREAS;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;GUNTING;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.45;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;HILASGASAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO BALAO;;A;1.10;;
SITIO PALATOAN;;A;1.10;;
SITIO CUBONG;;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;JAPITAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO ILAYA;ALONG PROV'L ROAD;RR;40.00;;
SITIO ILAYA;INTERIOR AREAS;RR;25.00;;
SITIO CABACONGAN;ALONG PROV'L ROAD;RR;35.00;;
SITIO CABACONGAN;INTERIOR AREAS;RR;22.50;;
SITIO PUNTA;ALONG PROV'L ROAD;RR;40.00;;
SITIO PLAZA;ALONG PROV'L ROAD;RR;40.00;;
SITIO PLAZA;INTERIOR AREAS;RR;25.00;;
SITIO MAKABOG;ALONG PROV'L ROAD;RR;35.00;;
SITIO MAKABOG;INTERIOR AREAS;RR;22.50;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;KALUBIHAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
INTERIOR BARANGAY;;A;1.10;;
INTERIOR BARANGAY;;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;KADAMPAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
INTERIOR BARANGAY;5 KM FROM BALAO BGY ROAD;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;LUHOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.15;;
INTERIOR AREAS;;A;1.15;;
INTERIOR AREAS;;A1;1.05;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;LOPO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;LUYO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO DITA;INTERIOR BARANGAY;A;1.00;;
SITIO DITA;INTERIOR BARANGAY;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;MAGHANOY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;27.50;;
INTERIOR AREAS;;A;1.40;;
INTERIOR AREAS;;A2;1.25;;
INTERIOR AREAS;;A2;1.15;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;MAIGANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAWAYAN;;A1;1.10;;
SITIO KABATAAN;;A1;1.10;;
SITIO PALINGPALING;;A1;1.10;;
SITIO OKBAN;;A1;1.10;;
SITIO CALUBIHAN;;A1;1.10;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:   MINOLOS;MINOLOS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;47.50;;
SITIO CONTARAGING;;A1;1.25;;
SITIO STA. ANA;;A1;1.15;;
SITIO TAPON;;A1;1.15;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;NABUNTURAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG BARANGAY ROAD;A;1.50;;
BARANGAY ROAD;50 M FROM BARANGAY RD;A1;1.25;;
BARANGAY ROAD;HILLY;A2;1.00;;
BARANGAY ROAD;MOUNTAINOUS;A2;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;NASIPIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAMITO;INTERIOR AREAS;A1;1.00;;
SITIO TAGAYTAY;ALONG PROVINCIAL ROAD;A;1.50;;
SITIO TAGAYTAY;INTERIOR AREAS;A1;1.10;;
SITIO TAMBISAN;ALONG PROVINCIAL ROAD;A;1.50;;
SITIO TAMBISAN;INTERIOR AREAS;A1;1.10;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;PANCIL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CABITOONAN;;A2;1.00;;
SITIO CALUBIHAN;;A2;1.00;;
SITIO SOLON;;A1;1.25;;
SITIO TO-ONG;;;;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;PANPANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
INTERIOR BARANGAY;3KM FROM BALAO BGY ROAD;A1;1.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;PARIL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO TAPON;2KM FR GILUCTOG BGY RD;A1;1.00;;
SITIO TABING;2KM FR PARIL BGY RD;A1;1.00;;
SITIO TOWER;2KM FR VITO BGY RD;A1;1.00;;
SITIO UPPER ILAYA;ALONG PARIL BGY ROAD;A;1.90;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;PATUPAT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAMBABAD;ALONG NATIONAL ROAD;A;25.00;;
SITIO CAMBABAD;INTERIOR AREAS;A1;1.45;;
SITIO CAMBABAD;INTERIOR AREAS;A2;1.10;;
SITIOS SAKSAK & MOHON;INTERIOR AREAS;A1;1.10;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
LAZARO ABAD (NAT'L RD);DIKE NO. 1-BARILI RIVER;RR;200.00;;
JACINTO ALQUIZOLA (MUNRD);I ALCOSEBA-F CABATON;RR;200.00;;
JOSE AGUILAR (MUN RD);DIKE NO 1-F CABATON;RR;200.00;;
AGUSTIN PARAS (MUN RD);I ALCOSEBA-DIKE NO. 2;RR;200.00;;
CARLOS ALQUIZOLA (MUN RD);DIKE NO 1-F CABATON;CR;300.00;;
CAUSIN (MUNICIPAL RD);F PARAS-F CABATON;CR;300.00;;
BLOCK NO. 1;L ABAD-ALQUIZOLA-ALCOSEBA;RR;200.00;;
BLOCK NO. 2;L ABAD-ALQUIZOLA-ALCOSEBA;RR;200.00;;
BLOCK NO. 3;ABAD-CABATON-ALQUIZOLA-PA;RR;200.00;;
BLOCK NO. 4;ALQUIZOLA-AGUILAR-ALCOSEB;RR;200.00;;
BLOCK NO. 5;ALQUIZOLA-PARAS-AGUILAR;RR;200.00;;
BLOCK NO. 6;AGUILAR-CABATON-AGUILAR;RR;200.00;;
BLOCK NO. 7;AGUILAR-ALQUIZOLA-PARAS-A;RR;200.00;;
BLOCK NO. 8;AGUILAR-PARAS-ALQUIZOLA;RR;200.00;;
BLOCK NO. 9;AGUILAR-CABATON-PARAS;RR;200.00;;
BLOCK NO. 10;PARAS-ALQUIZOLA-ALCOSEBA;RR;300.00;;
BLOCK NO. 11;PARAS-ALQUIZOLA-ALQUIZOLA;CR;300.00;;
BLOCK NO. 12;PARAS-CABATON-ALQUIZOLA;CR;300.00;;
BLOCK NO. 13;ALQUIZOLA-CABATON-CAUSIN;CR;300.00;;
BLOCK NO. 14;DIKE NO 1-ABAD-ALCOSEBA;RR;150.00;;
BLOCK NO. 15;DIKE NO 1-AGUILAR-ALCOSE;RR;150.00;;
BLOCK NO. 16;ALQUIZOLA-CAUSIN-PARAS;GP;150.00;;
BLOCK NO. 17;ALQUIZOLA-PARAS-CAUSIN-AL;GP;300.00;;
BLOCK NO. 18;ABAD-DIKE NO. 2-PARAS-CAB;GP;150.00;;
MUNICIPALITY:;BARILI;;;;
BARANGAY:;SAN RAFAEL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO ANTONIO;;A;1.20;;
SITIO ANTONIO;HILLY;A1;1.00;;
SITIO ANTONIO;MOUNTAINOUS;A1;1.00;;
SITIO MAKAGAGAHOM;;A;1.20;;
SITIO MAKAGAGAHOM;HILLY;A1;1.00;;
SITIO MAKAGAGAHOM;MOUNTAINOUS;A1;1.00;;
SITIO LA PURISIMA;;A;1.20;;
SITIO LA PURISIMA;HILLY;A1;1.00;;
SITIO LA PURISIMA;MOUNTAINOUS;A1;1.00;;
SITIO SAN ISIDRO;;A;1.20;;
SITIO SAN ISIDRO;HILLY;A1;1.00;;
SITIO SAN ISIDRO;MOUNTAINOUS;A1;1.00;;
SITIO SAN NICOLAS;;A;1.20;;
