RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;GUIWANON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL/BARANGAY ROADS;;RR;20.00;;
ROLLING AREA;;A1;1.50;;
ROLLING AREA;;;;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;D.O. No.;21-93;;
BARANGAY:;GUTLANG;Effectvity Date;5-13-93;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL/BARANGAY ROADS;;RR;7.00;;
ROLLING AREA;;A1;1.50;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;JAMPANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.50;;
ROLLING AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;JOMGAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;11.00;;
PLAIN AREA;;A;1.30;;
ROLLING AREA;;A1;1.20;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;LAMACAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BONIFACIO;CUENCO-BDRY CROSS ZAMORA;RR;10.00;;
BOUNDED BLOCKS;INNER AREAS 50M AWAY;A;2.50;;
CARLOCK;KINTANAY-BDRY CROSS ZAMORA;RR;8.00;;
COLUMBUS;BDRY-50M W/IN FROM RD;RR;20.00;;
ISIDRO C. KINTANAR;BDRY-50M W/IN FROM RD;RR;25.00;;
M.J CUENCO;LAMACAN SIDE-SITIO CANDURAN;A;2.00;;
SITIO CANDURAN;;A;2.00;;
