C M RECTO;SANCHEZ-G MASANGKAY;CR;38,000.00;;
G MASANGKAY MAGDALENA;SOLER-RECTO;CR;35,000.00;;
SANCHEZ;ALVARADO-C M RECTO;CR;24,000.00;;
SOLER;G MASANGKAY-ALVARADO;CR;36,000.00;;
TRONQUED;MASANGKAY-MAGDALENA;CR;24,000.00;;
ALL OTHER STREETS;;CR;22,000.00;;
BARANGAY:;BARANGAY 295 ZONE  28;;;;
BENAVIDEZ;SALAZAR-C M RECTO;CR;32,000.00;;
C M RECTO;MASANGKAY-DE LAZARO;CR;38,000.00;;
G MASANGKAY MAGDALENA;SALAZAR-SOLER;CR;35,000.00;;
GANDARA;SOLER-DE LAZARO;CR;52,000.00;;
ONGPIN;DE LAZARO-SALAZAR;CR;80,000.00;;
PIEDAD;MASANGKAY-DE LAZARO;CR;29,000.00;;
SALAZAR;ONGPIN-G MASANGKAY;CR;44,000.00;;
SOLER;MASANGKAY-DE LAZARO;CR;36,000.00;;
ALL OTHER STREETS;;CR;24,000.00;;
BARANGAY:;BARANGAY 296 ZONE  28;;;;
MASANGKAY MAGDALENA;SOLER-DELA REINA;CR;34,000.00;;
ONGPIN;DELA REINA-DE LAZARO;CR;80,000.00;;
PIEDAD;MAGDALENA-MASANGKAY;CR;29,000.00;;
SALAZAR;MAGDALENA-LAZARO;CR;44,000.00;;
SOLER;MASANGKAY-MAGDALENA;CR;36,000.00;;
ALL OTHER STREETS;;CR;24,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
CONDOMINIUMS/TOWNHOUSES;VICINITY;CLASSIFICATION;4TH  REV.ZV/SQ.M.;;
A & T  BUILDING;ESCOLTA;RC;25,000.00;;
ALONSO MANSION;ALONZO;RC;17,000.00;;
BPI CONDOMINIUM;PLAZA CERVANTES;RC;17,000.00;;
BELTON REALTY CORP;REINA REGENTE;RC;21,000.00;;
BENAVIDEZ GARDEN;BENAVIDES;RC;17,000.00;;
CASA PENNSYLVANIA;PLAZA CERVANTES, BINONDO;RC;21,000.00;;
CERVANTES CENTRE;PLAZA CERVANTES, BINONDO;RC;21,000.00;;
CITY RISER CONDO;SOLER;RC;17,000.00;;
ESCOLTA TWIN TOWER;ESCOLTA;RC;30,000.00;;
FEDERAL HOMES;PLAZA L RUIZ;RC;21,000.00;;
GOODWAY;BAMBANG;RC;17,000.00;;
