RDO:;RDO NO. 13-TUGUEGARAO, CAGAYAN;;;
BUNTUN;MAHARLIKA HIWAY - DIVERSION ROAD;CR;600.00;
BUNTUN;MAHARLIKA HIWAY - DIVERSION ROAD;RR;500.00;
BUNTUN;INTERIOR LOTS;RR;130.00;
BUNTUN;INTERIOR LOTS;GP;50.00;
BUNTUN;INTERIOR LOTS;A2;13.00;
CAGGAY (ALIMANNAO);BNDRY OF TANZA - BAQUIRAN;RR;240.00;
CAGGAY (ALIMANNAO);ROAD TO CHINESE CEMETERY TO FOOT OF CAPITOL COMPOUND.;RR;200.00;
CAGGAY (ALIMANNAO);CRUZ VILLAGE & PART OF PANANACAL VILLAGE;RR;240.00;
CAGGAY (ALIMANNAO);INTERIOR LOTS;RR;170.00;
CAGGAY (ALIMANNAO);INTERIOR LOTS;GP;100.00;
CAGGAY (ALIMANNAO);INTERIOR LOTS;A2;12.00;
CAPATAN;ALONG MAHARLIKA HIGHWAY & OTHER BARANGAY ROADS;RR;70.00;
CAPATAN;INTERIOR LOTS;RR;260.00;
CAPATAN;INTERIOR LOTS;A2;4.00;
CARIG ALONG MAHARLIKA HW;CHINESE CEMETERY - ANTI - TB;RR;260.00;
CARIG ALONG MAHARLIKA HW;CSU - BOUNDARY OF BRGY REYES;RR;260.00;
CARIG ALONG MAHARLIKA HW;COCKPIT,CONSUELO HEIGHTS & REGIONAL CENTER;RR;260.00;
CARIG ALONG MAHARLIKA HW;OTHER BARANGAY ROAD;RR;200.00;
CARIG ALONG MAHARLIKA HW;OTHER BARANGAY ROAD;GP;30.00;
CARIG ALONG MAHARLIKA HW;OTHER BARANGAY ROAD;A1;6.00;
CARITAN CENTRO;CARITAN - LINAO ROAD;RR;440.00;
CARITAN CENTRO;DIVERSION ROAD;RR;440.00;
CARITAN CENTRO;OTHER BARANGAY ROADS & INTERIOR LOTS;RR;300.00;
CARITAN CENTRO;ANDREWS SUBDIVISION;RR;750.00;
CARITAN CENTRO;REYNO SUBD.;RR;750.00;
CARITAN CENTRO;REYNO SUBD.;GP;75.00;
CARITAN CENTRO;REYNO SUBD.;A;6.00;
CARITAN NORTE;CARITAN - LINAO ROAD;RR;440.00;
CARITAN NORTE;OTHER BARANGAY ROAD;RR;340.00;
CARITAN NORTE;INTERIOR LOTS;RR;300.00;
CARITAN NORTE;INTERIOR LOTS;GP;75.00;
CARITAN NORTE;INTERIOR LOTS;A2;6.00;
CARITAN SUR;COLLEGE AVENUE;CR;4,400.00;
