QUIRINO HIGHWAY;QUIRINO HIWAY DEADEND;RR;1,000.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;GP;300.00;;
BARANGAY :;CAMP 6 AND 7;;;;
AMPARO HTS;KENNON RD DEAD END;RR;750.00;;
KENNON ROAD;MOO JUNCT POLIWES;CR;1,500.00;;
KENNON ROAD;MOO JUNCT POLIWES;RR;1,100.00;;
KENNON ROAD;POLIWES AMPARO HTS;RR;900.00;;
KENNON ROAD;LOAKAN RD CITY LIMIT;RR;300.00;;
MILO SUBD ROAD;MILO SUBD;RR;750.00;;
PETERSVILLE SUBD;KENNON ROAD;RR;1,000.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;GP;200.00;;
BARANGAY :;CAMPO FILIPINO;;;;
FERGUSON ROAD;QUIRINO AVELINO;CR;2,000.00;;
FERGUSON ROAD;QUIRINO AVELINO;RR;1,200.00;;
QUIRINO HIWAY;GAERLAN TO FERGUSON;RR;1,200.00;;
ROMAN AYSON ROAD;FERGUSON TO BOKAWKAN;RR;1,200.00;;
SIXTO GAERLAN RD;QUIRINO R AYSON RD;CR;2,000.00;;
SIXTO GAERLAN RD;QUIRINO R AYSON RD;RR;1,200.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;GP;500.00;;
BARANGAY :;CAMPO SIOCO;;;;
CAMPO SIOCO;CAMPO SIOCO;RR;1,450.00;;
CAMPO SIOCO;STO TOMAS QM SUBD;RR;1,100.00;;
HAPPY HOMES SUBD;HAPPY HOMES SUBD RD;RR;1,450.00;;
LEGARDA ROAD;GEN LIM MARCOS HIWAY;RR;3,600.00;;
LEGARDA ROAD;LEGARDA N STO TOMAS;RR;3,600.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;GP;300.00;;
BARANGAY :;CENTRAL GUISAD;;;;
PUCAY ROAD;FERGUSON EASTER SCH;RR;1,250.00;;
PUCAY ROAD;PUCAY RD PUCAY EXT;RR;700.00;;
TACAY ROAD;FERGUSON 4 SQ CHURCH;RR;900.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;GP;300.00;;
ALL OTHER STREETS;;;;;
BARANGAY :;CITY CAMP CENTRAL;;;;
CITY CAMP ROAD;J FELIPE QUEEN PEACE;RR;750.00;;
CITY CAMP ROAD;CITY CP J FELIPE;RR;750.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;GP;250.00;;
BARANGAY :;CITY CAMP PROPER;;;;
CITY CAMP ALLEY;LEGARDA TO ALL LOTS;RR;1,750.00;;
FELIPE JOSE;LEGARDA CITY CP RD;CR;3,500.00;;
FELIPE JOSE;LEGARDA CITY CP RD;RR;2,500.00;;
FELIPE JOSE;CITY CP RD QM RD;RR;1,750.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;GP;300.00;;
BARANGAY :;COUNTRY CLUB;;;;
OUTLOOK DR;VILLAMOR PARK RD;RR;3,000.00;;
PARK ROAD;PACDAL CAMP JOHN HAY BDRY;RR;4,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;GP;500.00;;
BARANGAY :;CRESENCIA VILLAGE;;;;
BOKAWKAN ROAD;EASTER SCHOOL ROAD;RR;1,500.00;;
EASTER SCHOOL ROAD;BOKAWKAN MANZANILLO;RR;1,500.00;;
EASTER SCHOOL ROAD;MANZANILLO BADIHOY SUB;RR;1,200.00;;
GOV BADO DANGWA;FERGUSON BOKAWKAN;RR;1,500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;GP;300.00;;
BARANGAY :;DIZON SUBD;;;;
DIZON SUBD ROAD;LORO MAYA ST AGUILA;RR;1,200.00;;
KALAPATI ST;ADARNA TO BPI SUBD;RR;1,200.00;;
KANARYN ST;KALAPATI ADARNA STS;RR;1,200.00;;
MAGSAYSAY AVE;ADARNA KALAPATI STS;RR;1,500.00;;
ALL OTHER STREETS;;RR;750.00;;
ALL OTHER STREETS;;GP;400.00;;
BARANGAY :;DOMINICAN MIRADOR;;;;
DOMINICAN ROAD;QN ANGEL DIPLOMAT;RR;800.00;;
MIRADOR HILL;DOMINICAN RD ISABELA;RR;600.00;;
S ANDRADA PARAN RD;ISABELA DOMINICAN RD;RR;500.00;;
ALL OTHER STREETS;;RR;400.00;;
ALL OTHER STREETS;;GP;200.00;;
BARANGAY :;DONTOGAN;;;;
STO TOMAS ROAD;BALACBAC CITY LIMIT;RR;700.00;;
STO TOMAS ROAD;GREENVALLEY ESLA REALTY;RR;1,500.00;;
STO TOMAS ROAD;ENTENG ADIWANGS PROP;RR;500.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;GP;250.00;;
BARANGAY :;DPS;;;;
DPS CPD;SESSION OLD FORESTRY;RR;900.00;;
ALL OTHER STREETS;;RR;750.00;;
ALL OTHER STREETS;;GP;400.00;;
BARANGAY :;EAST BAYAN PARK;;;;
BAYAN PARK;BP EAST BROOKSPT;RR;750.00;;
ALL OTHER STREETS;;RR;750.00;;
ALL OTHER STREETS;;GP;250.00;;
BARANGAY :;ENGINEERS HILLS;;;;
ALL OTHER STREET;;RR;500.00;;
ALL OTHER STREET;;GP;300.00;;
ENGINEERS HILL RD;L WOOD SESSION RD;RR;3,000.00;;
NORTH DRIVE;SESSION L WOOD JUNC;RR;3,000.00;;
OLD FORESTRY ROAD;ENGINEERS HILL SESSION RD;RR;1,000.00;;
SESSION RD EXT;NORTH DR AGUINALDO;CR;3,500.00;;
SESSION RD EXT;NORTH DR AGUINALDO;RR;3,000.00;;
BARANGAY :;FAIRVIEW;;;;
FERGUSON ROAD PART;FERGUSON RD L-31 B-25A;RR;1,200.00;;
RAINBOW HILLS SUBD;TRINITY GROMVEL SUBD;RR;1,000.00;;
SUNNYSIDE SUBD RD;LT TACAY TO END;RR;800.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;GP;250.00;;
BARANGAY :;GABRIELA SILANG;;;;
HILLSIDE RD;ALONG MAIN RD;RR;400.00;;
HILLSIDE RD;ALLEY AND SUB ALLEY;RR;300.00;;
ALL OTHER STREETS;;RR;300.00;;
ALL OTHER STREETS;;GP;200.00;;
